Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassCoupled,CountClassDerived,CountDeclClass,CountClassBase,CountDeclClassMethod,CountDeclInstanceMethod,CountDeclInstanceVariable
Class,ClearOnExitPolicy,100,1,4,0,,1,0,5,1
Class,ColorChooserAura,100,1,3,0,,2,0,8,3
Class,ColorChooserDialog,92,1,6,0,,3,0,10,3
Private Struct,ColorChooserDialog::ExecuteOpenParams,100,0,0,0,,0,0,1,3
Class,ColorChooserWin,61,1,3,0,,2,1,6,2
Abstract Class,CrashHandlerHostLinux,98,1,3,5,,2,0,13,6
Class,ExtensionCrashHandlerHostLinux,0,2,1,0,,1,0,5,0
Class,FileSelectHelper,100,1,17,0,,3,2,27,9
Public Struct,FileSelectHelper::ActiveDirectoryEnumeration,75,0,2,0,,0,0,1,4
Private Class,FileSelectHelper::DirectoryListerDispatchDelegate,80,1,2,0,,1,0,5,2
Class,GpuCrashHandlerHostLinux,0,2,1,0,,1,0,5,0
Class,GtkPrinterList,30,0,2,0,,0,1,4,2
Class,IncrementTimeDelta,33,0,2,0,,0,0,3,3
Class,LoginView,73,1,6,0,,1,0,6,5
Class,MediaCaptureDevicesDispatcher,100,1,5,0,,2,0,31,4
Public Class,MediaCaptureDevicesDispatcher::Observer,0,0,0,0,,0,0,5,0
Class,MediaInternals,100,1,7,0,,1,0,20,3
Class,MediaStreamDevicesController,97,0,9,0,,0,0,19,4
Class,PluginCrashHandlerHostLinux,0,2,1,0,,1,0,5,0
Class,PpapiCrashHandlerHostLinux,0,2,1,0,,1,0,5,0
Class,PrintDialogGtk,100,1,11,0,,2,1,18,7
Struct,PrintHostMsg_RequestPrintPreview_Params,100,0,0,0,,0,0,4,4
Struct,PrintHostMsg_SetOptionsFromDocument_Params,100,0,1,0,,0,0,4,4
Struct,PrintMsg_PrintPages_Params,100,0,3,0,,0,0,5,2
Struct,PrintMsg_Print_Params,100,0,3,0,,0,0,3,21
Class,PrintingMessageFilter,100,1,14,0,,1,0,17,2
Public Struct,PrintingMessageFilter::GetPrintSettingsForRenderViewParams,0,0,2,0,,0,0,0,4
Class,PrintingUIWebContentsObserver,0,1,3,0,,1,0,3,0
Class,RendererCrashHandlerHostLinux,0,2,1,0,,1,0,5,0
Class,SQLitePersistentCookieStore,18,1,17,0,,1,0,11,1
Public Class,SQLitePersistentCookieStore::Backend,87,1,16,0,,1,0,29,21
Private Class,SQLitePersistentCookieStore::Backend::KillDatabaseErrorDelegate,50,1,2,0,,1,0,4,2
Private Class,SQLitePersistentCookieStore::Backend::KillDatabaseErrorDelegate::HistogramUniquifier,0,0,0,0,,0,1,0,0
Private Class,SQLitePersistentCookieStore::Backend::PendingOperation,33,0,1,0,,0,0,3,2
Public Class,ShellBrowserContext::ShellResourceContext,50,1,2,0,,1,0,8,1
Class,StickyPrintSettingGtk,40,0,0,0,,0,0,5,1
File,api_messages.cc,,,,,0,,,,
File,api_messages.h,,,,,0,,,,
File,app.cc,,,,,0,,,,
File,app.h,,,,,1,,,,
File,app_controller_mac.h,,,,,0,,,,
File,app_protocol_handler.cc,,,,,1,,,,
File,app_protocol_handler.h,,,,,1,,,,
Class,autofill::AutofillPopupBaseView,100,1,4,0,,3,0,22,3
Abstract Class,autofill::AutofillPopupController,0,1,3,0,,1,0,17,0
Class,autofill::AutofillPopupControllerImpl,99,1,7,0,,1,1,50,16
Abstract Class,autofill::AutofillPopupView,100,0,1,0,,0,1,5,0
Class,autofill::AutofillPopupViewBridge,100,1,0,0,,1,0,8,2
Abstract Class,autofill::AutofillPopupViewDelegate,0,0,2,0,,0,0,10,0
Class,autofill::AutofillPopupViewGtk,100,1,10,0,,1,0,16,4
Class,autofill::AutofillPopupViewViews,100,1,3,0,,2,0,9,1
Struct,autofill::DataResource,0,0,0,0,,0,0,0,2
Class,autofill::NWAutofillClient,100,1,6,0,,3,0,18,2
Class,autofill::PopupControllerCommon,95,0,5,0,,0,0,14,5
File,autofill_agent.cc,,,,,0,,,,
File,autofill_agent.h,,,,,1,,,,
File,autofill_popup_base_view.cc,,,,,0,,,,
File,autofill_popup_base_view.h,,,,,1,,,,
File,autofill_popup_base_view_cocoa.h,,,,,0,,,,
File,autofill_popup_controller.h,,,,,1,,,,
File,autofill_popup_controller_impl.cc,,,,,0,,,,
File,autofill_popup_controller_impl.h,,,,,1,,,,
File,autofill_popup_view.h,,,,,1,,,,
File,autofill_popup_view_bridge.h,,,,,1,,,,
File,autofill_popup_view_cocoa.h,,,,,0,,,,
File,autofill_popup_view_delegate.h,,,,,1,,,,
File,autofill_popup_view_gtk.cc,,,,,0,,,,
File,autofill_popup_view_gtk.h,,,,,1,,,,
File,autofill_popup_view_views.cc,,,,,0,,,,
File,autofill_popup_view_views.h,,,,,1,,,,
File,base.cc,,,,,0,,,,
File,base.h,,,,,1,,,,
File,bindings_common.cc,,,,,0,,,,
File,bindings_common.h,,,,,0,,,,
Class,breakpad::MimeWriter,83,0,2,0,,0,0,13,4
File,breakpad_linux.cc,,,,,1,,,,
File,breakpad_linux.h,,,,,0,,,,
File,breakpad_mac.h,,,,,0,,,,
File,breakpad_win.cc,,,,,0,,,,
File,breakpad_win.h,,,,,0,,,,
File,browser_dialogs.h,,,,,0,,,,
File,browser_view_layout.cc,,,,,0,,,,
File,browser_view_layout.h,,,,,1,,,,
File,capture_page_helper.cc,,,,,0,,,,
File,capture_page_helper.h,,,,,1,,,,
Class,chrome::ChromeBreakpadClient,0,1,2,0,,1,0,8,0
File,chrome_breakpad_client.cc,,,,,0,,,,
File,chrome_breakpad_client.h,,,,,1,,,,
File,chrome_event_processing_window.h,,,,,0,,,,
File,clear_on_exit_policy.cc,,,,,0,,,,
File,clear_on_exit_policy.h,,,,,1,,,,
File,clipboard.cc,,,,,0,,,,
File,clipboard.h,,,,,1,,,,
File,color_chooser_aura.cc,,,,,0,,,,
File,color_chooser_aura.h,,,,,1,,,,
File,color_chooser_dialog.cc,,,,,0,,,,
File,color_chooser_dialog.h,,,,,1,,,,
File,color_chooser_win.cc,,,,,1,,,,
File,common_message_generator.h,,,,,0,,,,
Class,content::NWCookieMonsterDelegate,60,1,6,0,,1,0,5,1
Class,content::Shell,98,1,16,0,,3,8,66,13
Class,content::ShellAccessTokenStore,100,1,3,0,,1,0,7,2
Class,content::ShellBrowserContext,99,1,8,0,,1,0,23,9
Class,content::ShellBrowserMainParts,97,1,8,0,,1,0,19,9
Class,content::ShellContentBrowserClient,97,1,18,0,,1,0,31,3
Class,content::ShellContentClient,0,1,6,0,,1,0,8,0
Class,content::ShellContentRendererClient,100,1,5,0,,1,1,13,5
Class,content::ShellDevToolsDelegate,95,1,5,0,,1,0,12,2
Class,content::ShellDevToolsFrontend,97,1,4,0,,3,0,13,3
Class,content::ShellDownloadManagerDelegate,100,1,2,0,,2,0,13,3
Class,content::ShellJavaScriptDialog,63,0,5,0,,0,0,6,6
Class,content::ShellJavaScriptDialogCreator,88,1,4,0,,1,0,9,1
Class,content::ShellLoginDialog,100,1,2,0,,1,0,11,4
Class,content::ShellMainDelegate,100,1,4,0,,1,1,8,3
Class,content::ShellNetworkDelegate,0,1,5,0,,1,0,19,0
Class,content::ShellQuotaPermissionContext,0,1,0,0,,1,0,4,0
Class,content::ShellRenderProcessObserver,100,1,2,0,,1,0,9,1
Class,content::ShellResourceContext,100,1,2,0,,1,0,5,1
Class,content::ShellResourceDispatcherHostDelegate,83,1,1,0,,1,0,6,1
Class,content::ShellURLRequestContextGetter,100,1,5,0,,2,0,9,19
Class,content::Target,82,1,3,0,,1,0,13,6
File,crash_handler_host_linux.cc,,,,,0,,,,
File,crash_handler_host_linux.h,,,,,6,,,,
File,dispatcher.cc,,,,,0,,,,
File,dispatcher.h,,,,,1,,,,
File,dispatcher_bindings.cc,,,,,0,,,,
File,dispatcher_bindings.h,,,,,1,,,,
File,dispatcher_host.cc,,,,,0
File,dispatcher_host.h,,,,,1
File,event.cc,,,,,0
File,event.h,,,,,2
File,file_select_helper.cc,,,,,0
File,file_select_helper.h,,,,,2
File,global_shortcut_listener.cc,,,,,0
File,global_shortcut_listener.h,,,,,2
File,global_shortcut_listener_mac.h,,,,,1
File,global_shortcut_listener_win.cc,,,,,0
File,global_shortcut_listener_win.h,,,,,1
File,global_shortcut_listener_x11.cc,,,,,0
File,global_shortcut_listener_x11.h,,,,,1
File,hard_error_handler_win.cc,,,,,0
File,hard_error_handler_win.h,,,,,0
File,login_view.cc,,,,,0
File,login_view.h,,,,,1
File,media_capture_devices_dispatcher.cc,,,,,0
File,media_capture_devices_dispatcher.h,,,,,2
File,media_internals.cc,,,,,0
File,media_internals.h,,,,,1
File,media_stream_devices_controller.cc,,,,,0
File,media_stream_devices_controller.h,,,,,1
File,menu.cc,,,,,0
File,menu.h,,,,,1
File,menu_delegate.cc,,,,,0
File,menu_delegate.h,,,,,1
File,menu_gtk.cc,,,,,0
File,menu_views.cc,,,,,0
File,menubar_controller.cc,,,,,0
File,menubar_controller.h,,,,,1
File,menubar_view.cc,,,,,1
File,menubar_view.h,,,,,1
File,menuitem.cc,,,,,0
File,menuitem.h,,,,,1
File,menuitem_delegate_mac.h,,,,,0
File,menuitem_gtk.cc,,,,,0
File,menuitem_views.cc,,,,,0
File,native_window.cc,,,,,0
File,native_window.h,,,,,1
File,native_window_aura.cc,,,,,2
File,native_window_aura.h,,,,,1
File,native_window_gtk.cc,,,,,0
File,native_window_gtk.h,,,,,1
File,native_window_helper_mac.h,,,,,0
File,native_window_mac.h,,,,,1
File,native_window_toolbar_aura.cc,,,,,0
File,native_window_toolbar_aura.h,,,,,1
File,native_window_toolbar_win.cc,,,,,0,,,,
Class,net::AppProtocolHandler,100,1,5,0,,1,0,4,1
Class,net::URLRequestNWAppJob,60,1,7,0,,1,0,5,4
File,net_disk_cache_remover.cc,,,,,0,,,,
File,net_disk_cache_remover.h,,,,,0,,,,
Class,nw::AutofillAgent,100,1,4,0,,3,0,16,3
Class,nw::BrowserViewLayout,83,1,1,0,,1,0,12,3
Class,nw::CapturePageHelper,100,1,4,0,,2,1,7,2
Class,nw::MenuBarButton,0,1,3,0,,1,0,4,0
Class,nw::MenuBarController,100,1,5,0,,1,1,5,3
Class,nw::MenuBarView,100,1,3,0,,3,0,9,1
Abstract Class,nw::NativeWindow,98,0,8,3,,0,1,50,5
Class,nw::NativeWindowAura,99,1,12,0,,4,0,81,21
Class,nw::NativeWindowClientView,33,1,2,0,,1,0,3,1
