Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod
File,"AbstractTokenizer.java",,,,,,8,2,8
File,"AbstractVisitorGen.java",,,,,,12,9,12
File,"AcceptableGpuTypes.java",,,,,,2,1,2
File,"AcceptableNativeMethods.java",,,,,,2,1,2
File,"AlignmentCheckedMemory.java",,,,,,12,0,12
File,"ArrayCopyGenerate.java",,,,,,5,1,5
File,"ArraySum.java",,,,,,3,3,3
File,"ArraySum.java",,,,,,2,3,2
File,"ArraySumApp.java",,,,,,1,0,2
File,"ArraySumTest.java",,,,,,2,0,2
File,"AtomicLongRunOnGpu.java",,,,,,3,6,3
File,"AtomicLongTest.java",,,,,,2,0,2
File,"Aug4th2011PerformanceStudy.java",,,,,,13,9,14
File,"BaseConversionRunOnGpu.java",,,,,,3,3,3
File,"BaseConversionTest.java",,,,,,2,0,2
File,"BasicBlock.java",,,,,,16,9,16
File,"BasicBlockNormalize.java",,,,,,4,2,4
File,"BasicMemory.java",,,,,,26,18,26
File,"BasicSwappedMemory.java",,,,,,1,0,1
File,"BasicUnswappedMemory.java",,,,,,3,0,3
File,"BatchIntReader.java",,,,,,2,0,2
File,"BclMemory.java",,,,,,39,2,39
File,"BclQueueManager.java",,,,,,11,6,11
File,"BlockShaper.java",,,,,,7,4,8
File,"BlockingQueue.java",,,,,,4,1,4
File,"BoundingBox.java",,,,,,7,4,8
File,"BruteForceFFTRunOnGpu.java",,,,,,3,4,3
File,"BruteForceFFTTest.java",,,,,,2,0,2
File,"BufferPrinter.java",,,,,,3,0,3
File,"BuiltInTypes.java",,,,,,4,1,5
File,"ByteArrays.java",,,,,,2,0,2
File,"ByteArraysRunOnGpu.java",,,,,,3,4,3
File,"BytecodeLanguage.java",,,,,,62,7,62
File,"CClass.java",,,,,,7,1,7
File,"CFile.java",,,,,,5,1,5
File,"CFileFactory.java",,,,,,2,0,2
File,"CFileItem.java",,,,,,6,2,6
File,"CFileVisitor.java",,,,,,4,1,4
File,"CImport.java",,,,,,1,0,1
File,"CMethod.java",,,,,,7,1,7
File,"CNamespace.java",,,,,,3,1,3
File,"CParsedStatement.java",,,,,,1,1,1
File,"CStatement.java",,,,,,7,2,7
File,"CTemplate.java",,,,,,3,1,3
File,"CType.java",,,,,,6,3,6
File,"CallsPrivateMethod.java",,,,,,2,0,2
File,"CharArrays.java",,,,,,2,0,2
File,"CharArraysRunOnGpu.java",,,,,,3,4,3
File,"CharacterReader.java",,,,,,5,4,5
File,"ClassConstantReader.java",,,,,,2,0,2
File,"ClassPass.java",,,,,,4,1,4
File,"ClassRemapping.java",,,,,,19,4,19
File,"ClassRemappingTransform.java",,,,,,21,5,21
File,"ClassesMethodsPass.java",,,,,,3,3,3
File,"CloneClass.java",,,,,,1,0,1
File,"CloneMethod.java",,,,,,1,0,1
File,"CoarseningPhysics.java",,,,,,19,11,19
File,"CodeSegment.java",,,,,,9,0,9
File,"Combinatorics.java",,,,,,6,0,7
File,"CompileResult.java",,,,,,3,2,3
File,"CompiledKernel.java",,,,,,4,0,4
File,"CompilerRunner.java",,,,,,5,3,5
File,"CompositeClass0.java",,,,,,1,2,1
File,"CompositeClass1.java",,,,,,2,1,2
File,"CompositeClass2.java",,,,,,2,2,2
File,"CompositeClass3.java",,,,,,2,0,2
File,"CompositeClass4.java",,,,,,2,1,2
File,"CompositeClass5.java",,,,,,3,2,3
File,"CompositeClass6.java",,,,,,3,3,3
File,"CompositeField.java",,,,,,9,5,9
File,"Compressor.java",,,,,,7,2,8
File,"ConcreteIteratorEx.java",,,,,,6,3,6
File,"ConcreteRootbeer.java",,,,,,9,1,10
File,"Configuration.java",,,,,,4,2,8
File,"Constants.java",,,,,,0,0,0
File,"Constants.java",,,,,,0,0,0
File,"ConstructorStmtSwitch.java",,,,,,6,2,6
File,"CppRunner.java",,,,,,3,0,4
File,"CpuCore.java",,,,,,4,2,4
File,"CpuRunner.java",,,,,,3,2,3
File,"CpuRunnerCore.java",,,,,,5,3,5
File,"CpuRuntime.java",,,,,,3,1,4
File,"Cuda2DeviceMemory.java",,,,,,4,0,4
File,"CudaErrorException.java",,,,,,2,1,2
File,"CudaLoader.java",,,,,,5,2,5
File,"CudaRuntime2.java",,,,,,22,34,24
File,"CudaTweaks.java",,,,,,7,0,7
File,"CurrJarName.java",,,,,,1,0,1
File,"DeadMethods.java",,,,,,9,2,10
File,"DeadMethodsTest.java",,,,,,0,0,1
File,"DeleteFolder.java",,,,,,1,0,1
File,"DetermineInputOutputParameters.java",,,,,,12,6,12
File,"DeviceMemory.java",,,,,,2,0,2
File,"DeviceNotSuitableException.java",,,,,,0,0,0
File,"DfsInfo.java",,,,,,43,21,43
File,"DfsMethodRef.java",,,,,,5,2,5
File,"DfsValueSwitch.java",,,,,,56,6,56
File,"DigraphReplacer.java",,,,,,3,0,3
File,"DoNormalization.java",,,,,,2,2,2
File,"DoesntCallPrivateMethod.java",,,,,,1,0,1
File,"DotClassChild.java",,,,,,2,1,2
File,"DotClassRunOnGpu.java",,,,,,3,5,3
File,"DotClassTest.java",,,,,,2,0,2
File,"DoubleArrays.java",,,,,,2,0,2
File,"DoubleArraysRunOnGpu.java",,,,,,3,4,3
File,"Droplet.java",,,,,,9,6,9
File,"EmptyRunOnGpu.java",,,,,,1,0,1
File,"EmptyTest.java",,,,,,2,0,2
File,"ExMain.java",,,,,,1,0,1
File,"ExceptionBasicRunOnGpu.java",,,,,,4,1,4
File,"ExceptionBasicTest.java",,,,,,2,0,2
File,"ExecutionTest.java",,,,,,4,0,4
File,"ExtendedByteArray.java",,,,,,4,3,5
File,"ExtendedCFileFactory.java",,,,,,2,1,3
File,"FastClassResolver.java",,,,,,23,14,23
File,"FastMemory.java",,,,,,58,10,58
File,"FastSceneTransformer.java",,,,,,1,0,1
File,"FastWholeProgram.java",,,,,,45,22,46
File,"FieldCloner.java",,,,,,6,3,6
File,"FieldCodeGeneration.java",,,,,,6,3,6
File,"FieldPackingSorter.java",,,,,,4,1,4
File,"FieldReadWriteInspector.java",,,,,,14,7,14
File,"FieldTypeSwitch.java",,,,,,9,4,9
File,"FindKernelForTestCase.java",,,,,,5,3,5
File,"FindMethodCalls.java",,,,,,3,0,3
File,"FixupTokens.java",,,,,,2,1,2
File,"FloatArrays.java",,,,,,2,0,2
File,"FloatArraysRunOnGpu.java",,,,,,3,4,3
File,"ForSemiExpression.java",,,,,,6,2,6
File,"GcHeap.java",,,,,,11,19,12
File,"GcHeapReadWriteAdder.java",,,,,,3,1,3
File,"GenerateClScript.java",,,,,,3,2,3
File,"GenerateRuntimeBasicBlock.java",,,,,,16,6,16
File,"GenerateSerializersAndTest.java",,,,,,2,0,2
File,"GpuAtomicLong.java",,,,,,19,1,19
File,"GpuCodeSplitter.java",,,,,,1,0,1
File,"GpuDevice.java",,,,,,7,0,7
File,"GpuList.java",,,,,,8,2,8
File,"GpuList.java",,,,,,7,2,8
File,"GpuList.java",,,,,,7,2,8
File,"GpuListRunOnGpu.java",,,,,,3,1,3
File,"GpuListTest.java",,,,,,2,0,2
File,"GpuNumber.java",,,,,,3,1,3
File,"GpuNumber.java",,,,,,3,1,3
File,"GpuWorkItem.java",,,,,,4,4,4
File,"Handles.java",,,,,,6,2,6
File,"IRootbeer.java",,,,,,5,0,5
File,"IncludeExpander.java",,,,,,1,3,1
File,"IncludePath.java",,,,,,7,2,7
File,"InstanceofOther.java",,,,,,0,0,0
File,"InstanceofOther2.java",,,,,,0,0,0
File,"InstanceofRunOnGpu.java",,,,,,3,2,3
File,"InstanceofTest.java",,,,,,2,0,2
File,"IntArrays.java",,,,,,2,0,2
File,"IntArraysRunOnGpu.java",,,,,,4,2,4
File,"IntList.java",,,,,,8,2,8
File,"IntStack.java",,,,,,3,3,3
File,"IsPolyMorphic.java",,,,,,1,0,1
File,"Item.java",,,,,,2,1,2
File,"IteratorEx.java",,,,,,2,0,2
File,"IteratorTester.java",,,,,,6,0,7
File,"JarClassLoader.java",,,,,,3,1,3
File,"JarEntryHelp.java",,,,,,0,0,1
File,"JarToFolder.java",,,,,,6,1,6
File,"JavaNameToOpenCL.java",,,,,,0,0,1
File,"JimpleWriter.java",,,,,,1,0,1
File,"Jpp.java",,,,,,3,1,3
File,"JppSettings.java",,,,,,2,1,3
File,"Kernel.java",,,,,,1,0,1
File,"KernelReachableMethods.java",,,,,,7,5,7
File,"LargeMemTest.java",,,,,,2,0,2
File,"LargeMemTestRunOnGpu.java",,,,,,3,2,3
File,"LoadTestSerialization.java",,,,,,3,0,3
File,"LongArrays.java",,,,,,2,0,2
File,"LongArraysRunOnGpu.java",,,,,,3,4,3
File,"Loop.java",,,,,,21,0,21
File,"LoopCodeSegment.java",,,,,,10,1,10
File,"MMult.java",,,,,,2,0,2
File,"MMultRunOnGpu.java",,,,,,3,5,3
File,"Macro.java",,,,,,1,1,1
File,"MacroExpander.java",,,,,,7,6,7
File,"Main.java",,,,,,0,0,1
File,"Main.java",,,,,,2,0,3
File,"Main.java",,,,,,4,10,6
File,"Main.java",,,,,,2,0,3
File,"Main.java",,,,,,1,0,1
File,"Memory.java",,,,,,42,7,42
File,"MemoryTest.java",,,,,,3,0,4
File,"MethodCodeSegment.java",,,,,,10,4,10
File,"MethodDeclFinderPass.java",,,,,,2,0,2
File,"MethodFinder.java",,,,,,2,1,2
File,"MethodHierarchies.java",,,,,,11,4,11
File,"MethodJimpleValueSwitch.java",,,,,,63,9,63
File,"MethodPass.java",,,,,,3,1,3
File,"MethodRefFinder.java",,,,,,2,1,2
File,"MethodSignatureUtil.java",,,,,,14,4,15
File,"MethodStmtSwitch.java",,,,,,28,7,28
File,"MonitorGroupItem.java",,,,,,7,3,7
File,"MonitorGroups.java",,,,,,4,0,4
File,"MultiArrayCount.java",,,,,,4,2,4
File,"MultiArrayRunOnGpu.java",,,,,,3,2,3
File,"MultiArrayTest.java",,,,,,2,0,2
File,"MultiDimensionalArrayTypeCreator.java",,,,,,2,0,2
File,"NameMangling.java",,,,,,4,2,5
File,"NamespacePass.java",,,,,,4,3,4
File,"NamespaceStack.java",,,,,,6,2,6
File,"NativeCpuDevice.java",,,,,,9,1,9
File,"NativeCpuGcHeap.java",,,,,,5,0,5
File,"NativeCpuRuntime.java",,,,,,3,1,4
File,"NativeCpuTweaks.java",,,,,,5,0,5
File,"NativeStrictMathRunOnGpu.java",,,,,,5,20,5
File,"NativeStrictMathTest.java",,,,,,2,0,2
File,"NewOnGpu.java",,,,,,2,0,2
File,"NewOnGpuRefObject.java",,,,,,1,1,1
File,"NewOnGpuRunOnGpu.java",,,,,,3,3,3
File,"NewlineRemover.java",,,,,,2,0,2
File,"NewlineSplicer.java",,,,,,6,5,6
File,"NullPointer1RunOnGpu.java",,,,,,3,5,3
File,"NullPointer1Test.java",,,,,,2,0,2
File,"NullPointer2Object.java",,,,,,0,1,0
File,"NullPointer2RunOnGpu.java",,,,,,2,1,2
File,"NullPointer2Test.java",,,,,,2,0,2
File,"NullPointer3Object.java",,,,,,0,1,0
File,"NullPointer3RunOnGpu.java",,,,,,2,2,2
File,"NullPointer3Test.java",,,,,,2,0,2
File,"NullPointer4Object.java",,,,,,1,1,1
File,"NullPointer4RunOnGpu.java",,,,,,3,3,3
File,"NullPointer4Test.java",,,,,,2,0,2
File,"NumberedType.java",,,,,,4,2,4
File,"ObjectCloneGenerate.java",,,,,,3,0,3
File,"OfCoarse.java",,,,,,3,0,3
File,"OffsetCalculator.java",,,,,,7,3,7
File,"OpenCLArrayType.java",,,,,,23,1,23
File,"OpenCLBody.java",,,,,,20,13,20
File,"OpenCLClass.java",,,,,,24,10,24
File,"OpenCLField.java",,,,,,29,6,29
File,"OpenCLInstanceof.java",,,,,,8,2,8
File,"OpenCLLexer.java",,,,,,18,3,18
File,"OpenCLMethod.java",,,,,,27,3,27
File,"OpenCLParser.java",,,,,,8,5,8
File,"OpenCLPolymorphicMethod.java",,,,,,12,2,12
File,"OpenCLScene.java",,,,,,28,10,31
File,"OpenCLTweaks.java",,,,,,5,0,5
File,"OpenCLType.java",,,,,,9,1,9
File,"OutOfGpuMemoryException.java",,,,,,0,0,0
File,"OuterClass3RunOnGpu.java",,,,,,5,2,5
File,"OuterClassRunOnGpu.java",,,,,,6,2,6
File,"OuterClassTest.java",,,,,,2,0,2
File,"OuterClassTest2.java",,,,,,2,0,2
File,"OuterClassTest3.java",,,,,,2,0,2
File,"ParallelRuntime.java",,,,,,2,0,2
File,"ParserFactory.java",,,,,,7,0,7
File,"PartiallyCompletedParallelJob.java",,,,,,10,5,10
File,"Pass.java",,,,,,1,0,1
File,"PerformanceTests.java",,,,,,1,0,1
File,"PermissionGraph.java",,,,,,4,1,4
File,"PermissionGraphNode.java",,,,,,5,2,5
File,"Point.java",,,,,,6,2,6
File,"PointDistance.java",,,,,,0,0,1
File,"PointerStack.java",,,,,,3,3,3
File,"Policy.java",,,,,,0,0,0
File,"PreSemiExpression.java",,,,,,7,2,7
File,"Preprocessor.java",,,,,,8,8,8
File,"PrintRunOnGpu.java",,,,,,2,1,2
File,"PrintTest.java",,,,,,2,0,2
File,"PrivateFields.java",,,,,,17,0,17
File,"PutbackIterator.java",,,,,,5,2,5
File,"Random.java",,,,,,14,3,16
File,"ReadFile.java",,,,,,2,1,2
File,"ReadJar.java",,,,,,6,1,6
File,"ReadOnlyAnalyzer.java",,,,,,3,1,3
File,"ReadOnlyTypes.java",,,,,,5,3,5
File,"RefType1.java",,,,,,4,7,4
File,"RefTypeArrays.java",,,,,,2,0,2
File,"RefTypeArraysRunOnGpu.java",,,,,,3,4,3
File,"RegisterNamer.java",,,,,,2,1,3
File,"RemapRunOnGpu.java",,,,,,2,1,2
File,"RemapTest.java",,,,,,2,0,2
File,"RemoveStringSurrounding.java",,,,,,1,0,1
File,"ResourceReader.java",,,,,,0,0,3
File,"ResultIterator.java",,,,,,5,3,5
File,"ReverseClassHierarchy.java",,,,,,4,2,4
File,"Rootbeer.java",,,,,,6,1,6
File,"RootbeerCompiler.java",,,,,,30,5,30
File,"RootbeerFactory.java",,,,,,1,0,1
File,"RootbeerGpu.java",,,,,,0,0,4
File,"RootbeerPaths.java",,,,,,2,0,3
File,"RootbeerScene.java",,,,,,12,5,13
File,"RootbeerTest.java",,,,,,3,0,3
File,"RootbeerTestAgent.java",,,,,,5,5,5
File,"SafeUuidGenerator.java",,,,,,0,0,1
