Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod
Package,"(Unnamed_Package)",,,,,,3,3,4
File,"AbstractRunOnGpu.java",,,,,,2,1,2
File,"AbstractTest.java",,,,,,2,0,2
File,"AbstractTestBaseClass.java",,,,,,1,0,1
File,"AbstractTestDerivedClass.java",,,,,,2,0,2
File,"AbstractVisitorGen.java",,,,,,12,8,12
File,"AcceptableGpuTypes.java",,,,,,2,1,2
File,"AcceptableNativeMethods.java",,,,,,2,1,2
File,"AlignmentCheckedMemory.java",,,,,,12,0,12
File,"ApplicationMain.java",,,,,,1,0,1
File,"ArrayCloneRunOnGpu.java",,,,,,3,4,3
File,"ArrayCloneTest.java",,,,,,2,0,2
File,"ArrayCopyGenerate.java",,,,,,5,1,5
File,"ArrayCopyTypeReduction.java",,,,,,3,0,3
File,"ArrayLengthRunOnGpu.java",,,,,,3,2,3
File,"ArrayLengthTest.java",,,,,,2,0,2
File,"ArrayListRunOnGpu.java",,,,,,3,1,3
File,"ArrayListTest.java",,,,,,2,0,2
File,"ArrayListTestObject.java",,,,,,0,1,0
File,"ArrayMult.java",,,,,,2,2,2
File,"ArrayMult.java",,,,,,2,2,2
File,"ArrayMultApp.java",,,,,,1,0,2
File,"ArraySum.java",,,,,,3,3,3
File,"ArraySum.java",,,,,,2,3,2
File,"ArraySumApp.java",,,,,,1,0,2
File,"ArraySumTest.java",,,,,,2,0,2
File,"ArraysSortRunOnGpu.java",,,,,,3,1,3
File,"ArraysSortTest.java",,,,,,2,0,2
File,"AtomicLongRunOnGpu.java",,,,,,3,6,3
File,"AtomicLongTest.java",,,,,,2,0,2
File,"Aug4th2011PerformanceStudy.java",,,,,,13,9,14
File,"AutoboxingRunOnGpu.java",,,,,,10,4,10
File,"AutoboxingTest.java",,,,,,2,0,2
File,"BarrierRunOnGpu.java",,,,,,3,2,3
File,"BarrierTest.java",,,,,,2,0,2
File,"BaseConversionRunOnGpu.java",,,,,,3,3,3
File,"BaseConversionTest.java",,,,,,2,0,2
File,"BclMemory.java",,,,,,39,2,39
File,"BigDecimalRunOnGpu.java",,,,,,3,2,3
File,"BigDecimalTest.java",,,,,,2,0,2
File,"BitwiseRunOnGpu.java",,,,,,3,4,3
File,"BitwiseTest.java",,,,,,2,0,2
File,"Block.java",,,,,,10,5,10
File,"BlockParser.java",,,,,,1,0,1
File,"BlockShaper.java",,,,,,7,4,8
File,"BlockingQueue.java",,,,,,4,1,4
File,"BoundingBox.java",,,,,,7,4,8
File,"BruteForceFFTRunOnGpu.java",,,,,,3,4,3
File,"BruteForceFFTTest.java",,,,,,2,0,2
File,"BufferPrinter.java",,,,,,4,0,4
File,"ByteArrays.java",,,,,,2,0,2
File,"ByteArraysRunOnGpu.java",,,,,,3,4,3
File,"ByteByteValueRunOnGpu.java",,,,,,3,2,3
File,"ByteByteValueTest.java",,,,,,2,0,2
File,"BytecodeLanguage.java",,,,,,64,7,64
File,"CUDAContext.java",,,,,,16,13,16
File,"CUDALoader.java",,,,,,5,3,5
File,"CUDARuntime.java",,,,,,3,1,3
File,"CalcList.java",,,,,,3,2,3
File,"Calculation.java",,,,,,0,10,0
File,"Calculation.java",,,,,,1,18,1
File,"CallsPrivateMethod.java",,,,,,2,0,2
File,"ChangeThread.java",,,,,,2,0,2
File,"ChangeThreadRunOnGpu.java",,,,,,3,1,3
File,"ChangeThreadTest.java",,,,,,4,2,4
File,"CharArrays.java",,,,,,2,0,2
File,"CharArraysRunOnGpu.java",,,,,,3,4,3
File,"CheckedFixedMemory.java",,,,,,3,0,3
File,"ClassConstantNumbers.java",,,,,,2,2,2
File,"CloneMethod.java",,,,,,1,0,1
File,"CmdRunner.java",,,,,,8,7,8
File,"CmplInfRunOnGpu.java",,,,,,3,2,3
File,"CmplInfTest.java",,,,,,2,0,2
File,"CoarseningPhysics.java",,,,,,19,11,19
File,"CodeSegment.java",,,,,,8,0,8
File,"CompileResult.java",,,,,,4,3,4
File,"CompiledKernel.java",,,,,,8,0,8
File,"CompilerRunner.java",,,,,,5,3,5
File,"CompositeClass0.java",,,,,,1,2,1
File,"CompositeClass1.java",,,,,,2,1,2
File,"CompositeClass2.java",,,,,,2,2,2
File,"CompositeClass3.java",,,,,,2,0,2
File,"CompositeClass4.java",,,,,,2,1,2
File,"CompositeClass5.java",,,,,,3,2,3
File,"CompositeClass6.java",,,,,,3,3,3
File,"CompositeField.java",,,,,,10,5,10
File,"CompositeFieldFactory.java",,,,,,6,3,6
File,"Compressor.java",,,,,,7,2,8
File,"Configuration.java",,,,,,27,14,33
File,"Constants.java",,,,,,0,0,0
File,"ConstructorStmtSwitch.java",,,,,,6,2,6
File,"Context.java",,,,,,7,0,7
File,"CovarientBaseClass.java",,,,,,4,2,4
File,"CovarientDerivedClass.java",,,,,,3,1,3
File,"CovarientRunOnGpu.java",,,,,,2,4,2
File,"CovarientTest.java",,,,,,2,0,2
File,"CudaErrorException.java",,,,,,2,1,2
File,"CudaPath.java",,,,,,8,3,8
File,"CudaTweaks.java",,,,,,11,0,11
File,"CurrJarName.java",,,,,,1,0,1
File,"DeadMethods.java",,,,,,5,2,6
File,"DeleteFolder.java",,,,,,1,0,1
File,"DeviceNotSuitableException.java",,,,,,0,0,0
File,"DoesntCallPrivateMethod.java",,,,,,1,0,1
File,"DontDfsMethods.java",,,,,,2,1,2
File,"DotClassChild.java",,,,,,2,1,2
File,"DotClassRunOnGpu.java",,,,,,3,5,3
File,"DotClassTest.java",,,,,,2,0,2
File,"DoubleArrays.java",,,,,,2,0,2
File,"DoubleArraysRunOnGpu.java",,,,,,3,4,3
File,"DoubleToStringRunOnGpu.java",,,,,,3,2,3
File,"DoubleToStringTest.java",,,,,,2,0,2
File,"Droplet.java",,,,,,9,6,9
File,"EmptyRunOnGpu.java",,,,,,1,0,1
File,"EmptyTest.java",,,,,,2,0,2
File,"EverythingRunOnGpu.java",,,,,,2,1,2
File,"EverythingSynch.java",,,,,,1,1,1
File,"EverythingTest.java",,,,,,2,0,2
File,"ExMain.java",,,,,,1,0,1
File,"ExceptionBasicRunOnGpu.java",,,,,,4,1,4
File,"ExceptionBasicTest.java",,,,,,2,0,2
File,"ExceptionTestException.java",,,,,,1,0,1
File,"ExtraFields.java",,,,,,2,1,2
File,"FastMatrixTest.java",,,,,,4,2,4
File,"FieldCodeGeneration.java",,,,,,5,1,5
File,"FieldPackingSorter.java",,,,,,4,1,4
File,"FieldTypeSwitch.java",,,,,,5,2,5
File,"FindMethodCalls.java",,,,,,3,0,3
File,"FixedMemory.java",,,,,,97,11,97
File,"FloatArrays.java",,,,,,2,0,2
File,"FloatArraysRunOnGpu.java",,,,,,3,4,3
File,"FloatToStringRunOnGpu.java",,,,,,3,2,3
File,"FloatToStringTest.java",,,,,,2,0,2
File,"ForceGC.java",,,,,,0,0,1
File,"GencodeOptions.java",,,,,,4,3,4
File,"GenerateRuntimeBasicBlock.java",,,,,,17,6,17
File,"GpuAtomicLong.java",,,,,,19,1,19
File,"GpuCodeSplitter.java",,,,,,1,0,1
File,"GpuDevice.java",,,,,,50,25,52
File,"GpuException.java",,,,,,0,3,1
File,"GpuList.java",,,,,,7,2,8
File,"GpuList.java",,,,,,8,2,8
File,"GpuList.java",,,,,,7,2,8
File,"GpuListRunOnGpu.java",,,,,,3,1,3
File,"GpuListTest.java",,,,,,2,0,2
File,"GpuMethodKernel.java",,,,,,4,0,4
File,"GpuMethodTest.java",,,,,,2,0,2
File,"GpuNumber.java",,,,,,3,1,3
File,"GpuNumber.java",,,,,,3,1,3
File,"GpuStopwatch.java",,,,,,3,2,3
File,"GpuWorkItem.java",,,,,,4,4,4
File,"HashMapRunOnGpu.java",,,,,,2,1,2
File,"HashMapTest.java",,,,,,2,0,2
File,"HashSetRunOnGpu.java",,,,,,2,1,2
File,"HashSetTest.java",,,,,,2,0,2
File,"IRuntime.java",,,,,,1,0,1
File,"InstanceofOther.java",,,,,,0,0,0
File,"InstanceofOther2.java",,,,,,0,0,0
File,"InstanceofRunOnGpu.java",,,,,,3,2,3
File,"InstanceofTest.java",,,,,,2,0,2
File,"IntArrays.java",,,,,,2,0,2
File,"IntArraysRunOnGpu.java",,,,,,4,2,4
File,"IntList.java",,,,,,8,2,8
File,"IntStack.java",,,,,,3,3,3
File,"IsPolymorphic.java",,,,,,4,2,4
File,"Item.java",,,,,,2,1,2
File,"JarClassLoader.java",,,,,,3,1,3
File,"JarEntryHelp.java",,,,,,0,0,1
File,"JarToFolder.java",,,,,,6,1,6
File,"JavaNameToOpenCL.java",,,,,,0,0,1
File,"JimpleWriter.java",,,,,,1,0,1
Public Class,"KeepMainTest",0,1,1,1,2,1,0,2
File,"KeepMainTest.java",,,,,,1,0,2
File,"Kernel.java",,,,,,1,0,1
File,"KernelEntryPointDetector.java",,,,,,2,1,2
File,"KernelLaunch.java",,,,,,13,11,13
File,"KernelTemplateMain.java",,,,,,1,0,1
File,"LargeMemTest.java",,,,,,2,0,2
File,"LargeMemTestRunOnGpu.java",,,,,,3,2,3
File,"LinkedHashMapRunOnGpu.java",,,,,,2,1,2
File,"LinkedHashMapTest.java",,,,,,2,0,2
File,"LinkedHashSetRunOnGpu.java",,,,,,2,1,2
File,"LinkedHashSetTest.java",,,,,,2,0,2
File,"LinkedListRunOnGpu.java",,,,,,3,1,3
File,"LinkedListTest.java",,,,,,2,0,2
File,"LiveMethodDetector.java",,,,,,1,0,1
File,"LoadTestSerialization.java",,,,,,5,0,5
File,"LongArrays.java",,,,,,2,0,2
File,"LongArraysRunOnGpu.java",,,,,,3,4,3
File,"MMult.java",,,,,,2,5,2
File,"MMult.java",,,,,,2,0,2
File,"MMultApp.java",,,,,,2,0,3
File,"MMultRunOnGpu.java",,,,,,3,5,3
File,"Main.java",,,,,,5,11,7
File,"Main.java",,,,,,3,1,3
File,"Main.java",,,,,,2,0,2
File,"MainTester.java",,,,,,1,0,1
File,"MandelGenerator.java",,,,,,0,0,1
