Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgEssentialStrictModified,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclLibunit,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPackageCoupled,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,EssentialStrictModified,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxEssentialStrictModified,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SumEssentialStrictModified
Package,"(Unnamed_Package)",,,,,,,0,0,0,0,,0,0,0,0,,,,0,0,0,5,,,,0,0,,,,,,,0,,,0,,,0,0,,0,,,,,,,645,,,,204,,,,0,,,0,0,441,,,,,,,,,0,0,0,,,,0,,,,,,,,,0,0,0,0,,,,0,,,0.00,0,0,0,0,
File,"AdapterExampleActivity.java",,,,,,,1,1,1,1,,8,0,8,0,,,,2,0,0,,,,5,5,1,,,,,,,5,,,0,,,0,2,,3,,,,,,,81,,,,11,,,,55,,,26,27,16,,,,,,,,,35,42,23,,,,19,,,,,,,,,2,2,2,1,,,,1,,,0.29,6,6,6,5,
File,"AddPersonJob.java",,,,,,,1,1,1,1,,5,0,4,0,,,,1,0,1,,,,7,7,3,,,,,,,7,,,0,,,2,2,,3,,,,,,,88,,,,18,,,,50,,,28,19,20,,,,,,,,,29,38,24,,,,14,,,,,,,,,2,2,2,1,,,,1,,,0.40,8,8,8,7,
File,"AllColumns.java",,,,,,,0,0,0,0,,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,0,,,0,,,0,0,,0,,,,,,,101,,,,23,,,,0,,,0,0,78,,,,,,,,,0,0,0,,,,0,,,,,,,,,0,0,0,0,,,,0,,,0.00,0,0,0,0,
File,"AllTypes.java",,,,,,,1,1,1,1,,3,0,3,0,,,,1,0,0,,,,14,14,7,,,,,,,14,,,0,,,0,0,,14,,,,,,,87,,,,18,,,,54,,,25,14,15,,,,,,,,,24,39,25,,,,14,,,,,,,,,1,1,1,1,,,,0,,,0.28,14,14,14,14,
File,"AllTypes.java",,,,,,,1,1,1,1,,3,0,3,0,,,,1,0,0,,,,16,16,8,,,,,,,16,,,0,,,0,0,,16,,,,,,,96,,,,20,,,,61,,,28,16,15,,,,,,,,,27,44,28,,,,16,,,,,,,,,1,1,1,1,,,,0,,,0.25,16,16,16,16,
File,"AllTypesRealmProxy.java",,,,,,,2,2,2,1,,9,0,9,0,,,,1,3,0,,,,20,17,0,,,,,,,20,,,0,,,0,0,,20,,,,,,,238,,,,27,,,,211,,,62,123,0,,,,,,,,,119,161,46,,,,115,,,,,,,,,18,18,18,5,,,,2,,,0.00,46,46,47,24,
File,"AndroidManifest.xml",,,,,,,0,0,0,0,,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0,0,4,0,0,0,19,0,0,,,0,0,0,0,,,,,0,,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,,0,,,,0,,,0.00,0,0,0,0,
File,"AndroidManifest.xml",,,,,,,0,0,0,0,,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,36,0,0,0,5,0,0,0,31,0,0,,,0,0,0,0,,,,,0,,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,,0,,,,0,,,0.00,0,0,0,0,
File,"AndroidManifest.xml",,,,,,,0,0,0,0,,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,1,0,0,0,19,0,0,,,0,0,0,0,,,,,0,,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,,0,,,,0,,,0.00,0,0,0,0,
