tal,861225,140,140,140,140,5500
ahd,861225,144,144,144,144,0
ans,861225,102,102,102,102,100
vec,861225,180,180,180,180,500
alx,861225,79,79,79,79,800
pnx,861225,594,594,594,594,2700
ccl,861225,249,249,246,249,8800
shv,861225,119,119,119,119,0
bgf,861225,73,73,73,73,2300
ash,861225,237,237,234,237,0
ssc,861225,108,108,108,108,33100
hah,861225,245,245,240,245,4000
ari,861225,8,8,8,8,1700
alc,861225,120,120,120,120,2000
ual,861225,15,15,14,15,18000
mod,861225,262,265,262,262,5400
smh,861225,373,373,373,373,0
cho,861225,362,362,362,362,2200
may,861225,313,313,313,313,0
bpc,861225,237,237,234,237,10000
ion,861225,10,10,10,10,25000
pch,861225,110,110,110,110,1000
ctm,861225,88,88,88,88,300
mct,861225,44,44,44,44,22200
qbe,861225,133,133,133,133,11800
crc,861225,93,93,93,93,1100
bty,861225,149,149,149,149,4600
gal,861225,23,23,23,23,0
gep,861225,70,70,70,70,50000
jen,861225,164,164,164,164,400
krs,861225,170,170,170,170,200
seg,861225,36,36,36,36,1200
ghr,861225,206,206,197,206,4500
adh,861225,56,56,56,56,300
aog,861225,70,70,70,70,200
grt,861225,85,85,85,85,63600
len,861225,9,9,9,9,2600
alk,861225,141,141,141,141,200
ghi,861225,115,115,115,115,20000
bqd,861225,159,159,159,159,9100
swd,861225,64,64,63,64,0
ynx,861225,21,21,21,21,30000
pcm,861225,249,254,249,249,135300
agl,861225,310,310,310,310,500
caa,861225,120,120,120,120,0
cpc,861225,33,33,33,33,700
gra,861225,34,34,34,34,22700
zap,861225,45,45,43,45,16700
gci,861225,490,490,490,490,0
ctx,861225,172,175,172,172,7500
trl,861225,40,40,40,40,0
hcl,861225,320,320,315,320,1400
wtp,861225,65,65,65,65,3000
zyl,861225,107,107,107,107,2600
hlx,861225,109,109,109,109,3100
bgd,861225,120,120,120,120,5000
cln,861225,70,70,64,70,18000
pat,861225,142,142,142,142,0
khl,861225,105,105,105,105,10000
rpg,861225,75,75,75,75,6000
trn,861225,228,228,200,228,14100
wft,861225,174,174,174,174,0
cip,861225,138,138,138,138,900
hco,861225,196,196,196,196,4200
clm,861225,79,79,79,79,8600
xpta,861225,95560,95560,95560,95560,0
hil,861225,159,159,159,159,1600
ssg,861225,412,412,412,412,2100
awi,861225,88,88,88,88,2400
nmp,861225,105,105,105,105,1100
gul,861225,90,90,90,90,100
anf,861225,202,202,202,202,700
cfr,861225,22,26,22,22,1359000
acp,861225,223,223,223,223,400
dfm,861225,173,173,173,173,87100
