sol,861215,813,813,813,813,0
ans,861215,103,103,103,103,100
sid,861215,224,224,224,224,4800
alx,861215,75,75,75,75,500
bid,861215,159,159,159,159,3100
eml,861215,200,200,200,200,14600
pnx,861215,186,186,186,186,23400
ccl,861215,235,235,232,235,15100
rtm,861215,65,65,65,65,0
fcl,861215,26,26,26,26,0
snm,861215,300,300,300,300,6900
bsd,861215,38,40,38,38,12000
rgc,861215,475,475,470,475,114200
bds,861215,150,150,150,150,1000
mgg,861215,25,25,25,25,8000
crs,861215,13,13,13,13,23500
ihn,861215,52,52,52,52,0
gpt,861215,254,258,254,254,446800
ror,861215,130,130,130,130,0
wrf,861215,137,137,137,137,2000
dtv,861215,361,361,361,361,0
ncl,861215,276,276,276,276,900
rbs,861215,198,198,198,198,0
jen,861215,164,164,164,164,1600
cim,861215,45,45,45,45,18000
fhf,861215,219,219,219,219,400
wmt,861215,270,270,270,270,0
qrl,861215,162,163,162,162,274400
shr,861215,190,190,190,190,2000
arn,861215,417,417,417,417,0
moh,861215,21,21,21,21,0
plp,861215,245,245,240,245,108300
cpv,861215,105,105,105,105,0
sks,861215,136,136,136,136,0
kgm,861215,730,730,730,730,22000
age,861215,208,208,208,208,0
emd,861215,230,230,230,230,400
fbg,861215,362,362,361,362,123000
mlg,861215,117,117,117,117,1800
nio,861215,208,208,208,208,0
vpe,861215,10,10,10,10,10000
qst,861215,70,70,70,70,0
wmc,861215,272,272,269,272,1930300
sed,861215,72,72,72,72,3600
mac,861215,140,140,138,140,8500
bil,861215,691,691,682,682,11600
lko,861215,43,43,43,43,0
xpta,861215,93090,93550,92360,92360,0
lyg,861215,20,21,20,20,100900
bpt,861215,67,67,65,67,141700
scm,861215,121,121,121,121,0
abc,861215,296,296,296,296,7100
eqk,861215,78,80,76,78,769000
fmh,861215,189,189,189,189,19600
jsm,861215,669,669,669,669,0
ahd,861215,142,142,142,142,0
nml,861215,315,320,315,315,3000
sst,861215,240,240,240,240,0
aov,861215,88,88,88,88,0
ash,861215,228,233,228,228,0
wwh,861215,154,154,154,154,0
dat,861215,30,30,30,30,41000
nfm,861215,440,440,440,440,11000
pia,861215,170,170,170,170,0
gvm,861215,210,210,195,210,2600
cnw,861215,44,44,44,44,0
cho,861215,362,362,362,362,5500
ahy,861215,17,17,16,17,16000
mag,861215,123,123,123,123,0
aqc,861215,78,78,78,78,0
ggr,861215,45,45,45,45,0
ctr,861215,66,66,66,66,59600
lsc,861215,74,74,70,74,50500
glp,861215,19,19,19,19,6000
gal,861215,23,23,23,23,0
mim,861215,150,150,147,150,158800
nom,861215,329,329,329,329,15100
vpm,861215,110,110,110,110,0
aui,861215,186,186,186,186,0
wdi,861215,385,385,385,385,0
swh,861215,200,200,200,200,100
cad,861215,170,170,170,170,1300
dor,861215,32,32,32,32,0
fri,861215,360,360,360,360,100
cis,861215,35,35,35,35,0
osh,861215,87,92,87,87,12600
dmc,861215,370,370,370,370,4000
eac,861215,222,222,222,222,0
bgm,861215,12,12,12,12,50000
cpc,861215,30,30,30,30,2700
bkw,861215,1924,1924,1924,1924,500
gmf,861215,267,270,267,267,28700
pmu,861215,250,250,250,250,0
mtk,861215,62,62,62,62,0
wsl,861215,210,210,206,210,15300
tnt,861215,263,265,263,263,442000
ssn,861215,22,22,22,22,22500
wjm,861215,310,310,310,310,200
gow,861215,276,276,276,276,0
csd,861215,170,170,170,170,20000
khl,861215,100,100,100,100,50000
hco,861215,237,237,237,237,700
amc,861215,355,355,351,351,33000
lmc,861215,32,32,32,32,900
run,861215,163,163,163,163,6200
ssl,861215,48,48,48,48,0
kup,861215,95,95,95,95,200
cfr,861215,17,17,16,17,498700
tmm,861215,75,75,75,75,400
tal,861215,135,135,130,135,200
btg,861215,40,40,40,40,0
olh,861215,114,114,114,114,0
aum,861215,104,104,104,104,26600
era,861215,672,672,672,672,600
cvn,861215,43,43,43,43,0
jrv,861215,6,6,6,6,17200
cpm,861215,51,51,51,51,0
nts,861215,28,28,28,28,6200
ops,861215,318,318,318,318,1100
mtb,861215,22,22,22,22,0
bmp,861215,154,154,154,154,0
grv,861215,26,26,26,26,2000
bhp,861215,605,605,599,600,992600
bry,861215,281,282,280,281,22100
apg,861215,29,29,28,29,68000
pdp,861215,278,280,278,278,1320800
alc,861215,130,130,130,130,5000
erg,861215,157,157,153,157,14800
dnr,861215,39,39,39,39,0
wdp,861215,50,50,50,50,0
gsr,861215,235,235,235,235,0
isr,861215,68,68,68,68,63500
imm,861215,142,144,137,142,0
syl,861215,60,60,60,60,0
gep,861215,68,68,68,68,1000000
ate,861215,73,73,73,73,0
pgo,861215,345,345,340,345,11600
gcm,861215,6,6,5,6,1518800
tru,861215,911,911,911,911,0
krs,861215,174,174,173,174,2600
klz,861215,118,118,118,118,0
bog,861215,50,50,50,50,0
jla,861215,502,502,502,502,400
grt,861215,83,83,83,83,63600
cnl,861215,225,225,225,225,0
flc,861215,321,321,321,321,0
alk,861215,131,131,131,131,300
fim,861215,14,14,14,14,16300
abf,861215,302,302,302,302,7100
ara,861215,7098,7157,7039,7098,32100
seq,861215,213,213,213,213,0
nps,861215,40,40,40,40,0
mln,861215,38,38,38,38,0
hrl,861215,98,102,98,98,100400
ape,861215,275,275,275,275,200
brh,861215,57,57,57,57,5400
tct,861215,373,373,373,373,0
caa,861215,130,130,130,130,0
lan,861215,130,130,130,130,0
tgl,861215,7,7,7,7,0
mrh,861215,99,116,99,99,120000
bhh,861215,251,251,246,251,43300
plu,861215,140,143,140,140,107700
ged,861215,48,48,48,48,0
sdy,861215,132,132,132,132,0
tkr,861215,250,250,250,250,2600
psa,861215,52,52,52,52,0
her,861215,53,54,53,53,13000
sdi,861215,45,45,45,45,0
bae,861215,52,52,52,52,0
clm,861215,94,94,94,94,2000
tth,861215,282,282,282,282,51500
far,861215,41,41,41,41,0
afi,861215,93,94,93,93,22000
adv,861215,95,95,95,95,0
anf,861215,210,210,210,210,5300
cly,861215,164,164,160,164,2300
smi,861215,288,288,288,288,5200
oec,861215,412,426,412,412,21300
wad,861215,85,85,82,85,1500
ccn,861215,100,110,100,100,2400
cna,861215,393,393,393,393,0
mex,861215,22,22,22,22,16700
mgl,861215,28,28,28,28,4200
mat,861215,92,92,92,92,0
srp,861215,142,142,142,142,49100
zel,861215,320,320,320,320,0
amx,861215,265,265,261,265,43900
wbc,861215,396,396,385,396,469800
mrc,861215,42,42,42,42,121100
ctm,861215,91,91,91,91,300
nph,861215,171,171,171,171,0
brd,861215,44,44,44,44,0
awa,861215,231,231,231,231,3100
cag,861215,58,60,58,58,28400
gwf,861215,19,19,19,19,0
hma,861215,137,137,137,137,0
ach,861215,199,199,199,199,1000
vee,861215,30,30,30,30,0
akc,861215,227,227,227,227,0
ghr,861215,209,212,209,209,17100
bwt,861215,220,220,220,220,1000
fai,861215,400,403,393,400,71200
ala,861215,170,180,170,170,2200
ynx,861215,26,26,22,26,61000
sub,861215,30,30,26,30,52100
pcm,861215,239,239,237,239,58900
rai,861215,36,36,36,36,3500
cmc,861215,235,235,230,235,79500
wba,861215,124,124,124,124,0
mgt,861215,9,9,9,9,0
zap,861215,42,42,42,42,5600
prm,861215,65,67,65,65,55000
mmm,861215,150,150,150,150,300
pni,861215,296,296,293,296,380000
ctx,861215,170,172,170,170,600
kgr,861215,13,13,12,13,31800
wtp,861215,60,60,60,60,13000
hlx,861215,109,109,109,109,9900
hao,861215,15,15,15,15,9300
utl,861215,998,998,998,998,0
emm,861215,15,15,15,15,43800
whk,861215,52,52,52,52,0
cmt,861215,134,134,134,134,0
smc,861215,100,102,100,100,63700
ewl,861215,2927,2927,2927,2927,0
acp,861215,232,232,232,232,3300
wnr,861215,130,130,130,130,87000
gma,861215,138,138,138,138,1200
fdr,861215,12,12,12,12,50900
dci,861215,711,711,711,711,0
wyl,861215,178,178,178,178,300
bgf,861215,78,78,78,78,11600
ssc,861215,103,103,103,103,1900
hah,861215,243,243,243,243,12000
weg,861215,257,257,257,257,0
bic,861215,158,158,158,158,7100
lei,861215,72,72,72,72,0
pae,861215,33,33,33,33,14400
crr,861215,1275,1275,1187,1275,400
btr,861215,69,69,69,69,3478400
rag,861215,197,197,196,197,100200
pfp,861215,153,153,153,153,0
auc,861215,292,299,292,292,127900
gpy,861215,87,87,87,87,4100
ckg,861215,40,40,40,40,0
ici,861215,273,274,267,273,162600
bpc,861215,234,234,232,234,0
ion,861215,10,10,10,10,25000
nlb,861215,77,77,77,77,0
zex,861215,154,154,154,154,2600
nci,861215,73,73,73,73,0
eqt,861215,385,385,385,385,0
dks,861215,175,175,175,175,0
met,861215,340,340,336,340,1800
abd,861215,17,17,17,17,0
jod,861215,389,389,389,389,1100
aog,861215,65,65,65,65,7300
exi,861215,82,82,82,82,546300
cog,861215,31,31,31,31,11300
hak,861215,155,155,155,155,200
pha,861215,83,83,83,83,0
cmx,861215,82,82,80,82,60500
cin,861215,493,493,493,493,300
nab,861215,414,419,414,419,539800
wak,861215,78,78,78,78,0
ptd,861215,181,181,181,181,0
bkl,861215,92,92,92,92,800
aro,861215,36,36,36,36,70000
hcl,861215,310,310,310,310,29500
ark,861215,27,27,27,27,49500
bgd,861215,122,122,122,122,6000
kmt,861215,291,291,291,291,100
irc,861215,382,382,382,382,0
vss,861215,1012,1012,1012,1012,100
nbh,861215,214,215,213,214,252600
ppp,861215,8,8,8,8,95500
crt,861215,79,79,79,79,0
olp,861215,60,60,60,60,300
rth,861215,436,436,436,436,4200
scn,861215,28,28,28,28,9000
hil,861215,155,155,155,155,300
mah,861215,154,154,154,154,2000
mlt,861215,368,368,368,368,0
ssg,861215,412,412,412,412,2100
cri,861215,429,438,429,429,56700
agd,861215,56,56,56,56,0
cbn,861215,26,26,26,26,2100
nmp,861215,101,101,101,101,11400
cdg,861215,32,32,32,32,4000
cnt,861215,14,14,14,14,400
gdm,861215,59,61,59,59,9600
cvc,861215,38,38,38,38,0
wvi,861215,22,22,22,22,0
dav,861215,259,259,259,259,2700
grm,861215,40,40,40,40,1000
dom,861215,62,62,60,62,52400
skl,861215,176,176,176,176,500
cud,861215,214,214,208,214,1500
dgd,861215,34,34,34,34,12000
sgf,861215,587,587,587,587,0
gme,861215,20,20,20,20,300
bsg,861215,135,135,135,135,0
mld,861215,226,226,226,226,0
txr,861215,17,17,17,17,0
pch,861215,85,85,85,85,3000
bty,861215,148,148,148,148,4700
cbl,861215,14,14,14,14,4500
gmk,861215,141,141,141,141,0
chr,861215,143,143,143,143,0
quf,861215,203,203,203,203,0
ldw,861215,80,80,80,80,0
npc,861215,405,405,390,405,15000
gsm,861215,53,53,53,53,0
bdg,861215,78,78,78,78,23000
llr,861215,46,46,46,46,0
whf,861215,84,84,84,84,0
seg,861215,32,32,32,32,1200
adh,861215,56,56,56,56,200
lgo,861215,12,12,12,12,0
gdp,861215,60,60,60,60,0
len,861215,8,8,8,8,42100
hsh,861215,800,800,800,800,2100
bqd,861215,159,159,159,159,1200
erh,861215,35,35,35,35,0
chp,861215,13,13,13,13,0
sft,861215,169,169,169,169,0
aca,861215,151,151,135,151,76200
agl,861215,314,314,314,314,500
blo,861215,50,50,5,50,1000
afu,861215,61,61,61,61,1100
cni,861215,71,71,71,71,0
gra,861215,34,34,34,34,1600
vrg,861215,12,12,12,12,16600
gnt,861215,140,142,140,140,169800
tre,861215,43,43,43,43,0
cml,861215,212,214,211,214,958700
nng,861215,54,54,54,54,2900
zyl,861215,121,121,121,121,500
aua,861215,146,146,146,146,0
ase,861215,60,60,60,60,0
ect,861215,69,69,69,69,15900
pmt,861215,540,540,540,540,0
wfi,861215,120,120,120,120,0
pat,861215,147,147,147,147,0
pmm,861215,347,347,347,347,800
cip,861215,138,138,138,138,2900
aul,861215,20,20,20,20,140000
cir,861215,45,45,45,45,5700
awi,861215,81,81,76,81,400
dio,861215,119,119,119,119,0
wpl,861215,138,138,135,138,838000
bsc,861215,78,78,72,78,5000
edi,861215,113,113,113,113,0
sov,861215,92,92,86,92,17800
cex,861215,292,292,289,292,133300
mmf,861215,180,180,180,180,0
vki,861215,153,153,147,153,11600
cpl,861215,204,204,204,204,100
spt,861215,118,118,118,118,26600
shv,861215,118,118,116,118,0
csr,861215,312,312,308,312,346700
miv,861215,83,83,83,83,16000
mzg,861215,66,66,60,66,102000
ptz,861215,148,148,132,148,10300
reh,861215,408,408,408,408,0
smh,861215,464,464,464,464,0
spa,861215,33,33,32,33,202000
qbe,861215,120,120,120,120,8000
mch,861215,88,88,88,88,0
tir,861215,39,39,39,39,10000
aad,861215,138,138,138,138,5000
sbo,861215,34,34,34,34,0
ani,861215,161,164,161,161,56700
pgt,861215,105,105,105,105,4000
clr,861215,139,140,139,139,14700
wme,861215,85,85,85,85,2600
ghi,861215,115,115,115,115,70000
sza,861215,160,160,155,160,5900
hng,861215,43,43,43,43,0
wes,861215,114,114,114,114,500
mlp,861215,264,264,258,264,6800
ncp,861215,283,287,283,283,158400
tya,861215,2003,2003,1975,2003,2200
rio,861215,675,679,673,675,491100
ppt,861215,624,624,624,624,600
hmt,861215,409,409,409,409,11100
ccc,861215,47,47,47,47,2000
deh,861215,200,200,200,200,0
gci,861215,463,463,463,463,0
msf,861215,517,517,517,517,0
blm,861215,16,16,16,16,2100
bor,861215,322,328,320,322,1519200
kov,861215,57,57,57,57,200
rmw,861215,1950,1950,1950,1950,0
atr,861215,733,733,733,733,0
cng,861215,174,174,172,174,30700
mem,861215,212,212,212,212,100
hrw,861215,43,43,43,43,0
ocn,861215,58,58,58,58,0
tgm,861215,60,64,60,60,28000
pby,861215,179,179,179,179,10400
nix,861215,41,41,41,41,0
cwl,861215,70,70,70,70,0
set,861215,219,219,219,219,0
drm,861215,65,65,65,65,5000
sfc,861215,105,105,105,105,5600
cne,861215,10,10,10,10,0
gul,861215,85,85,85,85,5600
bur,861215,235,235,235,235,24000
mxt,861215,16,16,16,16,0
gpl,861215,15,15,15,15,40000
dfm,861215,173,173,173,173,87100
arg,861215,159,159,159,159,3700
skr,861215,81,81,81,81,7200
gns,861215,105,105,105,105,0
aar,861215,19,19,19,19,21000
ecm,861215,10,10,10,10,0
anc,861215,158,158,158,158,0
stv,861215,165,165,165,165,0
tam,861215,135,135,135,135,503000
