gns,861103,100,100,100,100,0
cvn,861103,60,60,60,60,0
csr,861103,302,302,300,302,290400
bmp,861103,163,163,163,163,0
bhp,861103,589,591,585,586,857800
bic,861103,138,158,138,138,5200
pia,861103,160,160,160,160,0
erg,861103,149,149,149,149,10800
dgd,861103,38,39,38,38,87500
ptz,861103,148,148,148,148,25800
gpy,861103,87,87,87,87,10100
hrg,861103,484,484,484,484,2700
ihn,861103,50,50,50,50,0
wrf,861103,186,186,186,186,5000
mrc,861103,51,51,51,51,100
lsc,861103,80,80,80,80,0
nph,861103,163,163,163,163,0
brd,861103,45,45,45,45,0
cbl,861103,13,13,13,13,0
syl,861103,60,60,60,60,0
mim,861103,149,150,147,149,274500
gwf,861103,15,15,15,15,0
cag,861103,65,65,62,65,76300
aad,861103,159,159,154,159,1600
tir,861103,37,37,37,37,0
npc,861103,240,240,240,240,100
tru,861103,1022,1022,1022,1022,0
seg,861103,44,44,44,44,23100
wdi,861103,444,444,444,444,0
cad,861103,113,113,113,113,14100
clr,861103,82,85,78,82,19300
fim,861103,16,16,16,16,13000
sog,861103,164,164,164,164,0
fri,861103,440,440,440,440,900
cis,861103,34,34,34,34,0
ala,861103,196,203,196,196,4200
seq,861103,146,146,146,146,0
rai,861103,47,47,47,47,0
sft,861103,103,103,103,103,1400
nab,861103,414,414,410,414,274500
aca,861103,276,281,271,276,73600
rio,861103,691,691,687,691,116500
anz,861103,337,339,335,337,477700
ppt,861103,680,680,680,680,600
tgl,861103,10,10,7,10,95500
mrh,861103,55,55,55,55,42100
msf,861103,467,467,467,467,0
tre,861103,40,45,40,40,7000
cml,861103,186,186,185,186,159700
bor,861103,325,325,319,325,92500
sdy,861103,144,144,144,144,0
mac,861103,160,160,160,160,1000
vwd,861103,10,10,10,10,0
her,861103,65,67,65,65,73000
cng,861103,181,181,178,181,66700
bil,861103,645,651,645,651,22300
pmt,861103,540,540,540,540,0
pmm,861103,390,401,390,390,55900
bae,861103,48,48,48,48,0
xpta,861103,94330,94350,93470,94030,0
amc,861103,341,346,341,341,139300
drm,861103,95,95,95,95,0
awi,861103,61,61,61,61,1500
cir,861103,50,50,50,50,0
scm,861103,81,81,81,81,0
agd,861103,56,56,56,56,0
cfr,861103,17,17,13,17,519800
wlh,861103,11274,11274,10146,11274,2400
mxt,861103,14,14,12,14,198000
bsc,861103,58,58,58,58,1200
fmh,861103,194,194,180,194,14900
