Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,CountDeclInstanceVariable,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode,CountDeclClassMethod
File,AbstractButtonSource.java,,,,6,,,0,,4,33,0.58,1
File,AbstractButtonSourceTest.java,,,,3,,,0,,3,49,0.31,0
File,AbstractSchedulerConcurrencyTests.java,,,,41,,,5,,28,286,0.17,0
File,AbstractSchedulerTests.java,,,,47,,,5,,35,355,0.1,0
File,Action.java,,,,0,,,0,,0,3,6.67,0
File,Action0.java,,,,1,,,0,,1,3,5,0
File,Action1.java,,,,1,,,0,,1,3,5,0
File,Action2.java,,,,1,,,0,,1,3,5,0
File,Action3.java,,,,1,,,0,,1,3,5,0
File,Action4.java,,,,1,,,0,,1,4,4.5,0
File,Action5.java,,,,1,,,0,,1,4,4.5,0
File,Action6.java,,,,1,,,0,,1,4,4.5,0
File,Action7.java,,,,1,,,0,,1,4,4.5,0
File,Action8.java,,,,1,,,0,,1,4,4.5,0
File,Action9.java,,,,1,,,0,,1,4,4.5,0
File,ActionN.java,,,,1,,,0,,1,4,4.5,0
File,Actions.java,,,,52,,,0,,52,227,0.97,26
File,ActivePlan0.java,,,,4,,,1,,3,15,1.2,0
File,ActivePlan1.java,,,,4,,,3,,2,27,0.67,0
File,ActivePlan2.java,,,,4,,,4,,2,31,0.58,0
File,ActivePlan3.java,,,,4,,,5,,2,41,0.44,0
File,ActivePlan4.java,,,,4,,,6,,2,51,0.35,0
File,ActivePlan5.java,,,,4,,,7,,2,66,0.27,0
File,ActivePlan6.java,,,,4,,,8,,2,74,0.24,0
File,ActivePlan7.java,,,,4,,,9,,2,82,0.22,0
File,ActivePlan8.java,,,,4,,,10,,2,90,0.2,0
File,ActivePlan9.java,,,,4,,,11,,2,98,0.18,0
File,ActivePlanN.java,,,,7,,,3,,2,44,0.41,0
File,AndroidObservable.java,,,,15,,,1,,11,90,1.22,7
File,AndroidObservableTest.java,,,,10,,,5,,8,87,0.2,0
File,AndroidSchedulers.java,,,,2,,,0,,2,14,1.43,2
File,AndroidSchedulers.java,,,,3,,,0,,3,16,1.75,2
File,AndroidSubscriptions.java,,,,5,,,0,,4,31,0.71,1
File,AssertObservable.java,,,,24,,,0,,7,80,0.76,4
File,AssertObservableTest.java,,,,4,,,0,,4,21,0.71,0
File,Assertions.java,,,,2,,,0,,1,9,1.67,1
File,Async.java,,,,105,,,0,,93,528,1.91,68
File,AsyncSubject.java,,,,13,,,3,,6,59,0.8,1
File,AsyncSubjectTest.java,,,,17,,,3,,13,200,0.13,0
File,AsyncTest.java,,,,85,,,1,,79,707,0.02,0
File,BackpressureTests.java,,,,56,,,3,,38,409,0.13,3
File,BehaviorSubject.java,,,,16,,,2,,9,67,1.09,3
File,BehaviorSubjectTest.java,,,,19,,,1,,18,273,0.05,0
File,BlockingObservable.java,,,,61,,,4,,38,273,1.08,1
File,BlockingObservable.java,,,,35,,,1,,29,149,2.02,1
File,BlockingObservablePerf.java,,,,5,,,2,,5,47,0.32,0
File,BlockingObservableTest.java,,,,54,,,1,,50,331,0.05,0
File,BlockingObservableTest.java,,,,50,,,1,,47,296,0.05,0
File,BlockingOperatorLatest.java,,,,17,,,3,,9,84,0.42,1
File,BlockingOperatorLatestTest.java,,,,11,,,0,,7,98,0.22,0
File,BlockingOperatorMostRecent.java,,,,13,,,3,,10,67,0.67,1
File,BlockingOperatorMostRecentTest.java,,,,6,,,0,,4,67,0.22,0
File,BlockingOperatorNext.java,,,,25,,,9,,12,125,0.34,1
File,BlockingOperatorNextTest.java,,,,34,,,0,,17,241,0.14,0
File,BlockingOperatorToFuture.java,,,,14,,,1,,10,77,0.47,1
File,BlockingOperatorToFutureTest.java,,,,13,,,0,,10,98,0.24,0
File,BlockingOperatorToIterator.java,,,,12,,,1,,8,61,0.52,1
File,BlockingOperatorToIteratorTest.java,,,,6,,,0,,5,50,0.32,0
File,BooleanSubscription.java,,,,8,,,2,,6,35,0.94,2
File,BufferUntilSubscriber.java,,,,22,,,8,,10,120,0.43,1
File,BufferUntilSubscriberTest.java,,,,9,,,0,,4,65,0.25,0
File,CachedThreadScheduler.java,,,,22,,,7,,15,124,0.18,0
File,CachedThreadSchedulerTest.java,,,,4,,,0,,4,30,0.6,0
File,ChannelObservable.java,,,,26,,,1,,19,110,0.79,6
File,ChannelObservableTest.java,,,,20,,,0,,13,156,0.1,0
File,CombineLatestTests.java,,,,8,,,3,,7,63,0.29,0
File,ComponentEventSource.java,,,,15,,,5,,11,70,0.36,2
File,CompositeException.java,,,,35,,,5,,20,159,0.42,0
File,CompositeExceptionTest.java,,,,13,,,3,,10,118,0.16,2
File,CompositeSubscription.java,,,,22,,,2,,8,102,0.43,1
File,CompositeSubscriptionTest.java,,,,40,,,0,,31,253,0.09,0
File,ComputationSchedulerPerf.java,,,,3,,,1,,3,36,0.42,0
File,ComputationSchedulerTests.java,,,,12,,,2,,9,98,0.16,0
File,ConcatTests.java,,,,8,,,0,,8,121,0.13,0
File,ConcurrentCircularArrayQueue.java,,,,11,,,20,,11,67,1.36,0
File,ConcurrentSequencedCircularArrayQueue.java,,,,5,,,2,,4,31,0.58,0
File,ConnectableObservable.java,,,,5,,,0,,5,25,2,0
File,CovarianceTest.java,,,,13,,,0,,13,96,0.3,0
File,DebugHook.java,,,,18,,,2,,12,81,0.17,0
File,DebugHookTest.java,,,,35,,,2,,25,233,0.13,5
File,DebugNotification.java,,,,42,,,13,,16,170,0.02,6
File,DebugNotificationListener.java,,,,4,,,0,,4,16,3.06,0
File,DebugSubscriber.java,,,,12,,,4,,9,72,0,0
File,DebugSubscription.java,,,,4,,,2,,3,26,0,0
File,DummyObservable.java,,,,5,,,0,,5,18,0.94,0
File,EmptyObserver.java,,,,3,,,0,,3,13,1.38,0
File,ErrorHandlingTests.java,,,,8,,,0,,8,61,0.36,0
File,EventLoopsScheduler.java,,,,12,,,6,,10,72,0.33,0
File,EventStream.java,,,,8,,,3,,6,57,0.47,3
File,ExampleObservableHttp.java,,,,12,,,0,,10,86,0.34,3
File,Exceptions.java,,,,20,,,0,,5,67,1.1,4
File,ExceptionsTest.java,,,,24,,,0,,23,116,0.16,0
File,ExecutorScheduler.java,,,,25,,,8,,13,138,0.26,0
File,ExecutorSchedulerTest.java,,,,1,,,0,,1,12,1.25,0
File,ExpandableByteBuffer.java,,,,9,,,0,,7,40,0.38,0
File,FrontPadding.java,,,,0,,,14,,0,6,4,0
File,Func0.java,,,,1,,,0,,1,6,2.5,0
File,Func1.java,,,,1,,,0,,1,3,5,0
File,Func2.java,,,,1,,,0,,1,3,5,0
File,Func3.java,,,,1,,,0,,1,3,5,0
File,Func4.java,,,,1,,,0,,1,3,5,0
File,Func5.java,,,,1,,,0,,1,3,5,0
File,Func6.java,,,,1,,,0,,1,3,5,0
File,Func7.java,,,,1,,,0,,1,3,5,0
File,Func8.java,,,,1,,,0,,1,3,5,0
File,Func9.java,,,,1,,,0,,1,3,5,0
File,FuncN.java,,,,1,,,0,,1,4,3.75,0
File,Function.java,,,,0,,,0,,0,3,6.67,0
File,Functionals.java,,,,13,,,3,,11,65,0.69,4
File,Functions.java,,,,65,,,2,,47,267,0.58,19
File,GenericScheduledExecutorService.java,,,,4,,,1,,2,26,1.19,1
File,GroovyActionWrapper.java,,,,5,,,1,,5,28,0.82,0
File,GroovyCreateWrapper.java,,,,3,,,1,,2,18,1.06,0
File,GroovyFunctionWrapper.java,,,,12,,,1,,12,74,0.32,0
File,GroovyOnSubscribeFuncWrapper.java,,,,2,,,1,,2,14,1.43,0
File,GroupByTests.java,,,,8,,,0,,8,58,0.29,0
File,GroupedObservable.java,,,,4,,,1,,4,23,2,1
File,HandlerThreadScheduler.java,,,,8,,,3,,8,52,0.46,0
File,HandlerThreadScheduler.java,,,,1,,,0,,1,8,2.5,0
File,HandlerThreadScheduler.java,,,,12,,,4,,10,73,0.26,1
File,HandlerThreadSchedulerTest.java,,,,4,,,0,,4,84,0.23,0
File,IOSSchedulers.java,,,,3,,,0,,3,15,1.07,2
File,IOSchedulerPerf.java,,,,3,,,1,,3,36,0.42,0
File,ImmediateScheduler.java,,,,7,,,1,,7,40,0.53,1
File,ImmediateSchedulerTest.java,,,,10,,,0,,10,63,0.33,0
File,IndexedRingBuffer.java,,,,48,,,8,,20,214,0.44,1
File,IndexedRingBufferPerf.java,,,,6,,,2,,3,40,0,0
File,IndexedRingBufferTest.java,,,,40,,,2,,26,323,0.07,0
File,InputWithIncrementingInteger.java,,,,16,,,6,,15,78,0.23,0
File,IntervalDemo.java,,,,5,,,0,,5,36,0.47,0
File,JRubyActionWrapper.java,,,,5,,,3,,5,44,0.41,0
File,JRubyFunctionWrapper.java,,,,13,,,3,,12,144,0.13,0
File,JavaFxObservable.java,,,,4,,,0,,2,17,1.76,2
File,JavaFxScheduler.java,,,,15,,,1,,12,91,0.24,2
File,JavaFxSchedulerTest.java,,,,19,,,2,,14,175,0.22,3
File,JavaFxSubscriptions.java,,,,5,,,0,,4,29,0.76,1
File,JoinObservable.java,,,,17,,,1,,16,69,3.39,12
File,JoinObserver.java,,,,2,,,0,,2,6,3,0
File,JoinObserver1.java,,,,17,,,7,,12,87,0.25,0
File,KeyEventSource.java,,,,13,,,0,,9,71,0.32,2
File,KeyEventSourceTest.java,,,,7,,,1,,6,99,0.15,0
File,LatchedObserver.java,,,,37,,,10,,31,171,0.61,12
File,LatchedObserver.java,,,,4,,,2,,4,23,0.65,0
File,ListFragmentActivity.java,,,,7,,,1,,7,51,0.2,0
File,ListenInOutActivity.java,,,,10,,,3,,8,63,0.11,0
File,ListeningFragmentActivity.java,,,,9,,,2,,9,62,0.27,0
File,MathObservable.java,,,,22,,,1,,22,80,3.45,11
File,MergeTests.java,,,,6,,,0,,6,60,0.32,0
File,MessagePassingQueue.java,,,,5,,,0,,5,8,7.13,0
File,MissingBackpressureException.java,,,,2,,,0,,2,9,1.67,0
File,MouseEventSource.java,,,,17,,,0,,15,87,0.29,3
File,MouseEventSourceTest.java,,,,5,,,1,,4,59,0.25,0
File,MovieLibUsage.java,,,,2,,,0,,2,22,0.68,1
File,MpmcArrayQueue.java,,,,25,,,47,,14,135,0.59,0
File,MpscPaddedQueue.java,,,,19,,,52,,14,97,0.52,0
File,MultipleAssignmentSubscription.java,,,,12,,,3,,7,61,0.56,0
File,MultipleAssignmentSubscriptionTest.java,,,,5,,,2,,5,51,0.29,0
File,NewFiberScheduler.java,,,,20,,,2,,13,109,0.2,1
File,NewFiberSchedulerTest.java,,,,1,,,0,,1,9,1.89,0
File,NewThreadScheduler.java,,,,3,,,0,,3,18,1.06,1
File,NewThreadSchedulerTest.java,,,,1,,,0,,1,8,1.88,0
File,NewThreadWorker.java,,,,8,,,3,,6,49,0.53,0
File,NodeEventSource.java,,,,4,,,0,,4,32,0.09,1
File,Not.java,,,,2,,,1,,2,11,2.55,0
File,Notification.java,,,,32,,,6,,17,98,0.92,4
File,NotificationLite.java,,,,24,,,1,,15,90,1.28,1
File,NotificationLiteTest.java,,,,1,,,0,,1,14,1.07,0
File,ObjectPool.java,,,,16,,,3,,8,65,0.78,0
File,Observable.java,,,,449,,,1,,421,1587,5.33,112
File,ObservableDoOnTest.java,,,,7,,,0,,6,54,0.28,0
File,ObservableHttp.java,,,,11,,,1,,11,63,1.98,4
File,ObservableHttpResponse.java,,,,3,,,2,,3,17,1.53,0
File,ObservableTests.java,,,,119,,,1,,106,873,0.1,0
File,ObservableValueSource.java,,,,4,,,0,,4,30,0.1,1
File,ObservableWindowTests.java,,,,3,,,0,,3,28,0.54,0
File,Observer.java,,,,3,,,0,,3,6,8.67,0
File,Observers.java,,,,22,,,0,,16,87,0.86,4
File,OnErrorFailedException.java,,,,2,,,0,,2,11,3.18,0
File,OnErrorNotImplementedException.java,,,,2,,,0,,2,11,3.82,0
File,OnErrorThrowable.java,,,,15,,,3,,9,63,1.21,3
File,OnNextValueTest.java,,,,11,,,1,,10,73,0.18,1
File,OnSubscribeAmb.java,,,,36,,,6,,21,200,0.85,9
File,OnSubscribeAmbTest.java,,,,16,,,2,,14,173,0.1,0
File,OnSubscribeCache.java,,,,5,,,3,,4,33,1.12,0
File,OnSubscribeCacheTest.java,,,,14,,,0,,13,111,0.18,0
File,OnSubscribeCombineLatest.java,,,,41,,,26,,20,225,0.22,0
File,OnSubscribeCombineLatestTest.java,,,,56,,,1,,47,599,0.06,1
File,OnSubscribeDefer.java,,,,3,,,1,,2,22,1.14,0
File,OnSubscribeDeferTest.java,,,,2,,,0,,2,52,0.29,0
File,OnSubscribeDelay.java,,,,8,,,8,,6,68,0.38,0
File,OnSubscribeDelaySubscription.java,,,,4,,,4,,3,33,0.61,0
File,OnSubscribeDelayTest.java,,,,42,,,3,,36,500,0.03,0
File,OnSubscribeDelayWithSelector.java,,,,16,,,5,,12,98,0.21,0
File,OnSubscribeFromChannel.java,,,,7,,,1,,2,33,0.61,0
File,OnSubscribeFromIterable.java,,,,17,,,4,,4,70,0.44,0
File,OnSubscribeFromIterableTest.java,,,,12,,,1,,11,124,0.15,0
File,OnSubscribeGroupJoin.java,,,,41,,,23,,29,286,0.17,0
File,OnSubscribeGroupJoinTest.java,,,,29,,,9,,29,277,0.06,0
File,OnSubscribeJoin.java,,,,38,,,18,,20,246,0.14,0
File,OnSubscribeJoinTest.java,,,,17,,,2,,17,226,0.07,0
File,OnSubscribeMulticastSelector.java,,,,4,,,3,,3,44,0.57,0
File,OnSubscribeMulticastTest.java,,,,4,,,0,,4,77,0.22,0
File,OnSubscribeRange.java,,,,16,,,6,,4,74,0.36,0
File,OnSubscribeRangeTest.java,,,,21,,,0,,15,151,0.11,0
File,OnSubscribeRedo.java,,,,51,,,8,,37,246,0.15,11
File,OnSubscribeRefCount.java,,,,9,,,4,,6,74,0.62,0
File,OnSubscribeRefCountTest.java,,,,43,,,0,,34,385,0.12,0
File,OnSubscribeTimerOnce.java,,,,4,,,3,,3,34,0.56,0
File,OnSubscribeTimerPeriodically.java,,,,4,,,5,,3,39,0.49,0
File,OnSubscribeTimerTest.java,,,,16,,,3,,15,215,0.07,0
File,OnSubscribeToObservableFuture.java,,,,10,,,3,,6,52,0.67,2
File,OnSubscribeToObservableFutureTest.java,,,,9,,,2,,9,104,0.14,0
File,OnSubscribeUsing.java,,,,4,,,3,,3,37,0.54,0
File,OnSubscribeUsingTest.java,,,,25,,,2,,22,171,0.13,0
File,OperatorAll.java,,,,7,,,2,,5,40,0.55,0
File,OperatorAllTest.java,,,,10,,,0,,10,83,0.18,0
File,OperatorAny.java,,,,8,,,4,,5,49,0.41,0
File,OperatorAnyTest.java,,,,16,,,0,,16,169,0.09,0
File,OperatorAsObservable.java,,,,1,,,0,,1,9,2.33,0
File,OperatorAsObservableTest.java,,,,2,,,0,,2,40,0.38,0
File,OperatorAverageDouble.java,,,,8,,,4,,6,45,0.51,0
File,OperatorAverageFloat.java,,,,8,,,4,,6,45,0.51,0
File,OperatorAverageInteger.java,,,,8,,,4,,6,45,0.51,0
File,OperatorAverageLong.java,,,,8,,,4,,6,45,0.51,0
File,OperatorAverageTest.java,,,,34,,,4,,34,288,0.05,0
File,OperatorBroadcastRegister.java,,,,4,,,4,,4,40,0.38,0
File,OperatorBroadcastRegisterTest.java,,,,3,,,0,,3,86,0.17,0
File,OperatorBufferTest.java,,,,81,,,5,,78,754,0.03,0
File,OperatorBufferWithSingleObservable.java,,,,20,,,5,,12,130,0.34,0
File,OperatorBufferWithSize.java,,,,32,,,8,,13,156,0.33,0
