Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountLineCode,RatioCommentToCode,CountDeclFunction
File,AbstractOnSubscribe.java,,,17,,,,65,3,,273,1.15,36
File,AbstractOnSubscribeTest.java,,,2,,,,68,0,,448,0.04,42
File,AbstractSchedulerConcurrencyTests.java,,,5,,,,41,0,,310,0.16,28
File,AbstractSchedulerTests.java,,,5,,,,47,0,,379,0.09,35
File,Action.java,,,0,,,,0,0,,3,6.67,0
File,Action0.java,,,0,,,,1,0,,4,4.5,1
File,Action1.java,,,0,,,,1,0,,4,4.5,1
File,Action2.java,,,0,,,,1,0,,4,4.5,1
File,Action3.java,,,0,,,,1,0,,4,4.5,1
File,Action4.java,,,0,,,,1,0,,4,4.5,1
File,Action5.java,,,0,,,,1,0,,4,4.5,1
File,Action6.java,,,0,,,,1,0,,4,4.5,1
File,Action7.java,,,0,,,,1,0,,4,4.5,1
File,Action8.java,,,0,,,,1,0,,4,4.5,1
File,Action9.java,,,0,,,,1,0,,4,4.5,1
File,ActionN.java,,,0,,,,1,0,,4,4.5,1
File,Actions.java,,,0,,,,46,23,,202,0.96,46
File,AssertObservable.java,,,0,,,,25,4,,83,0.73,8
File,AssertObservableTest.java,,,0,,,,4,0,,21,0.71,4
File,AsyncSubject.java,,,3,,,,28,1,,135,0.56,13
File,AsyncSubjectTest.java,,,3,,,,24,0,,290,0.11,18
File,AtomicPerf.java,,,7,,,,64,0,,245,0.1,30
File,BackpressureDrainManager.java,,,5,,,,32,0,,145,0.62,12
File,BackpressureTests.java,,,5,,,,67,3,,499,0.13,45
File,BackpressureUtils.java,,,0,,,,9,2,,32,1.56,3
File,BaseLinkedAtomicQueue.java,,,2,,,,13,0,,53,0.66,11
File,BaseLinkedQueue.java,,,50,,,,11,0,,64,0.69,9
File,BehaviorSubject.java,,,2,,,,31,3,,138,0.74,16
File,BehaviorSubjectTest.java,,,1,,,,37,0,,449,0.05,30
File,Beta.java,,,0,,,,0,0,,16,1.94,0
File,BlockingObservable.java,,,1,,,,35,1,,153,1.89,29
File,BlockingObservablePerf.java,,,2,,,,5,0,,45,0.33,5
File,BlockingObservableTest.java,,,4,,,,79,0,,446,0.04,72
File,BlockingOperatorLatest.java,,,3,,,,17,1,,85,0.41,9
File,BlockingOperatorLatestTest.java,,,0,,,,11,0,,98,0.22,7
File,BlockingOperatorMostRecent.java,,,3,,,,14,1,,70,0.64,11
File,BlockingOperatorMostRecentTest.java,,,0,,,,6,0,,67,0.22,4
File,BlockingOperatorNext.java,,,9,,,,26,1,,129,0.33,13
File,BlockingOperatorNextTest.java,,,0,,,,34,0,,241,0.14,17
File,BlockingOperatorToFuture.java,,,1,,,,15,1,,80,0.45,11
File,BlockingOperatorToFutureTest.java,,,0,,,,13,0,,98,0.24,10
File,BlockingOperatorToIterator.java,,,1,,,,13,1,,65,0.49,9
File,BlockingOperatorToIteratorTest.java,,,0,,,,6,0,,50,0.32,5
File,BooleanSubscription.java,,,2,,,,8,2,,35,0.89,6
File,BufferUntilSubscriber.java,,,8,,,,26,1,,135,0.39,14
File,BufferUntilSubscriberTest.java,,,0,,,,9,0,,65,0.25,4
File,CachedThreadScheduler.java,,,7,,,,23,0,,123,0.18,15
File,CachedThreadSchedulerTest.java,,,0,,,,10,0,,75,0.24,7
File,CombineLatestTests.java,,,3,,,,8,0,,63,0.29,7
File,CompositeException.java,,,5,,,,37,0,,170,0.39,20
File,CompositeExceptionTest.java,,,3,,,,15,2,,128,0.15,12
File,CompositeSubscription.java,,,2,,,,25,1,,107,0.45,9
File,CompositeSubscriptionConcurrentPerf.java,,,4,,,,33,0,,159,0.14,11
File,CompositeSubscriptionPerf.java,,,4,,,,18,0,,83,0.27,7
File,CompositeSubscriptionTest.java,,,0,,,,41,0,,258,0.09,32
File,ComputationSchedulerPerf.java,,,1,,,,3,0,,36,0.42,3
File,ComputationSchedulerTests.java,,,2,,,,14,0,,110,0.15,11
File,ConcatTests.java,,,0,,,,8,0,,121,0.13,8
File,ConcurrentCircularArrayQueue.java,,,19,,,,14,0,,75,1.29,13
File,ConcurrentSequencedCircularArrayQueue.java,,,2,,,,5,0,,33,0.55,4
File,ConnectableObservable.java,,,0,,,,9,0,,40,2.17,8
File,ConnectableObservableTest.java,,,0,,,,11,0,,118,0.13,10
File,CovarianceTest.java,,,0,,,,23,0,,171,0.2,21
File,ErrorHandlingTests.java,,,0,,,,8,0,,61,0.36,8
File,EventLoopsScheduler.java,,,11,,,,14,0,,88,0.38,11
File,EventStream.java,,,3,,,,9,3,,60,0.45,7
File,Exceptions.java,,,0,,,,25,5,,86,1,6
File,ExceptionsTest.java,,,0,,,,23,0,,111,0.16,21
File,ExecutorScheduler.java,,,5,,,,21,0,,114,0.42,10
File,ExecutorSchedulerTest.java,,,1,,,,20,0,,154,0.1,15
File,Experimental.java,,,0,,,,0,0,,16,1.31,0
File,FrontPadding.java,,,14,,,,0,0,,6,4,0
File,Func0.java,,,0,,,,1,0,,6,3,1
File,Func1.java,,,0,,,,1,0,,4,4.5,1
File,Func2.java,,,0,,,,1,0,,4,4.5,1
File,Func3.java,,,0,,,,1,0,,4,4.5,1
File,Func4.java,,,0,,,,1,0,,4,4.5,1
File,Func5.java,,,0,,,,1,0,,4,4.5,1
File,Func6.java,,,0,,,,1,0,,4,4.5,1
File,Func7.java,,,0,,,,1,0,,4,4.5,1
File,Func8.java,,,0,,,,1,0,,4,4.5,1
File,Func9.java,,,0,,,,1,0,,4,4.5,1
File,FuncN.java,,,0,,,,1,0,,4,4.5,1
File,Function.java,,,0,,,,0,0,,3,6.67,0
File,Functions.java,,,0,,,,43,14,,176,0.64,29
File,GenericScheduledExecutorService.java,,,1,,,,6,1,,30,1.03,2
File,GroupByTests.java,,,0,,,,8,0,,58,0.29,8
File,GroupedObservable.java,,,1,,,,5,2,,26,2.77,5
File,IOSchedulerPerf.java,,,1,,,,3,0,,36,0.42,3
File,ImmediateScheduler.java,,,1,,,,7,1,,40,0.53,7
File,ImmediateSchedulerTest.java,,,0,,,,10,0,,63,0.33,10
File,IndexedRingBuffer.java,,,9,,,,48,1,,229,1.17,20
File,IndexedRingBufferPerf.java,,,2,,,,6,0,,40,0.38,3
File,IndexedRingBufferTest.java,,,2,,,,40,0,,323,0.07,26
File,InputWithIncrementingInteger.java,,,6,,,,16,0,,78,0.23,15
File,IntervalDemo.java,,,0,,,,5,0,,39,0.44,5
File,JCToolsQueueTests.java,,,0,,,,6,0,,33,0.45,3
File,LatchedObserver.java,,,2,,,,4,0,,23,0.65,4
File,LinkedQueueNode.java,,,1,,,,7,0,,27,0.81,7
File,MergeTests.java,,,0,,,,6,0,,60,0.32,6
File,MessagePassingQueue.java,,,0,,,,5,0,,9,6.33,5
File,MissingBackpressureException.java,,,0,,,,2,0,,9,4.89,2
File,MpmcArrayQueue.java,,,47,,,,26,0,,148,0.6,14
File,MpscLinkedAtomicQueue.java,,,0,,,,11,0,,48,1.56,4
File,MpscLinkedQueue.java,,,0,,,,13,0,,56,1.36,5
File,MultipleAssignmentSubscription.java,,,3,,,,12,0,,60,0.52,7
File,MultipleAssignmentSubscriptionPerf.java,,,4,,,,10,0,,54,0.41,5
File,MultipleAssignmentSubscriptionTest.java,,,2,,,,5,0,,51,0.29,5
File,NewThreadScheduler.java,,,0,,,,3,1,,18,1.06,3
File,NewThreadSchedulerTest.java,,,0,,,,7,0,,57,0.26,6
File,NewThreadWorker.java,,,3,,,,28,4,,152,0.33,13
File,Notification.java,,,6,,,,32,4,,98,0.9,17
File,NotificationLite.java,,,1,,,,26,1,,99,1.26,17
File,NotificationLiteTest.java,,,0,,,,2,0,,29,0.52,2
File,ObjectPool.java,,,3,,,,16,0,,65,0.78,8
File,Observable.java,,,1,,,,437,97,,1560,4.89,399
File,ObservableDoOnTest.java,,,0,,,,7,0,,54,0.28,6
File,ObservablePerfBaseline.java,,,1,,,,9,0,,53,0.28,7
File,ObservableTests.java,,,1,,,,119,0,,880,0.1,107
File,ObservableWindowTests.java,,,0,,,,3,0,,28,0.54,3
File,Observer.java,,,0,,,,3,0,,6,8.67,3
File,Observers.java,,,0,,,,23,4,,90,0.82,17
File,OnBackpressureBlockTest.java,,,1,,,,27,0,,267,0.11,25
File,OnErrorFailedException.java,,,0,,,,2,0,,11,3.18,2
File,OnErrorNotImplementedException.java,,,0,,,,2,0,,11,3.91,2
File,OnErrorThrowable.java,,,3,,,,18,4,,89,0.97,10
File,OnNextValueTest.java,,,1,,,,20,1,,112,0.25,19
File,OnSubscribeAmb.java,,,8,,,,42,10,,226,0.82,22
File,OnSubscribeAmbTest.java,,,2,,,,23,0,,224,0.13,20
File,OnSubscribeAutoConnect.java,,,4,,,,4,0,,32,0.66,2
File,OnSubscribeCache.java,,,3,,,,5,0,,32,1.19,4
File,OnSubscribeCacheTest.java,,,0,,,,15,0,,120,0.17,14
File,OnSubscribeCombineLatest.java,,,26,,,,44,0,,234,0.22,20
File,OnSubscribeCombineLatestTest.java,,,1,,,,69,1,,664,0.06,57
File,OnSubscribeDefer.java,,,1,,,,3,0,,23,1.09,2
File,OnSubscribeDeferTest.java,,,0,,,,2,0,,52,0.29,2
File,OnSubscribeDelaySubscription.java,,,4,,,,4,0,,32,0.63,3
File,OnSubscribeDelaySubscriptionWithSelector.java,,,2,,,,6,0,,33,0.7,5
File,OnSubscribeFromIterable.java,,,4,,,,21,0,,80,0.45,4
File,OnSubscribeFromIterableTest.java,,,3,,,,37,0,,239,0.1,34
