Kind,Name,CountDeclClassMethod,MaxInheritanceTree,CountClassDerived,PercentLackOfCohesion,CountClassCoupled,CountDeclInstanceVariable,CountLineCode,CountDeclFile,CountDeclFunction,RatioCommentToCode,CountDeclMethodAll,SumCyclomatic
File,Action0.java,0,,,,,0,3,,1,5,,1
File,Action1.java,0,,,,,0,3,,1,5,,1
File,Action2.java,0,,,,,0,3,,1,5,,1
File,Action3.java,0,,,,,0,3,,1,5,,1
File,AtomicObservableSubscription.java,0,,,,,2,32,,5,1.06,,7
File,AtomicObserver.java,0,,,,,3,32,,4,1.06,,7
File,ClojureAdaptor.java,0,,,,,2,89,,7,0.26,,28
File,CompositeException.java,0,,,,,2,35,,4,0.57,,7
File,Func0.java,0,,,,,0,3,,1,5,,1
File,Func1.java,0,,,,,0,3,,1,5,,1
File,Func2.java,0,,,,,0,3,,1,5,,1
File,Func3.java,0,,,,,0,3,,1,5,,1
File,Func4.java,0,,,,,0,3,,1,5,,1
File,Func5.java,0,,,,,0,3,,1,5,,1
File,Func6.java,0,,,,,0,3,,1,5,,1
File,Func7.java,0,,,,,0,3,,1,5,,1
File,Func8.java,0,,,,,0,3,,1,5,,1
File,Func9.java,0,,,,,0,3,,1,5,,1
File,FuncN.java,0,,,,,0,3,,1,5,,1
File,Function.java,0,,,,,0,3,,0,1.67,,0
File,FunctionLanguageAdaptor.java,0,,,,,0,5,,2,6.2,,2
File,Functions.java,20,,,,,0,268,,35,0.82,,72
File,GroovyAdaptor.java,0,,,,,4,203,,30,0.12,,30
File,JRubyAdaptor.java,0,,,,,4,165,,24,0.12,,25
File,Notification.java,0,,,,,6,84,,14,0.71,,26
File,Observable.java,57,,,,,3,686,,149,2.27,,166
File,Observer.java,0,,,,,0,6,,3,8.83,,3
File,OperationCombineLatest.java,4,,,,,10,509,,39,0.3,,60
File,OperationConcat.java,3,,,,,16,227,,26,0.13,,34
File,OperationFilter.java,1,,,,,3,66,,8,0.24,,11
File,OperationLast.java,1,,,,,3,55,,7,0.36,,8
File,OperationMap.java,2,,,,,5,149,,18,0.44,,20
File,OperationMaterialize.java,1,,,,,6,154,,16,0.2,,22
File,OperationMerge.java,3,,,,,16,382,,43,0.26,,65
File,OperationMergeDelayError.java,3,,,,,21,558,,56,0.22,,87
File,OperationOnErrorResumeNextViaFunction.java,1,,,,,5,177,,17,0.2,,25
File,OperationOnErrorResumeNextViaObservable.java,1,,,,,5,109,,11,0.27,,17
File,OperationOnErrorReturn.java,1,,,,,5,143,,14,0.31,,21
File,OperationScan.java,2,,,,,6,134,,14,0.39,,19
File,OperationSkip.java,1,,,,,4,78,,10,0.53,,11
File,OperationSynchronize.java,1,,,,,3,152,,16,0.44,,16
File,OperationTake.java,1,,,,,8,135,,14,0.33,,18
File,OperationToObservableFuture.java,2,,,,,3,76,,7,0.03,,10
File,OperationToObservableIterable.java,1,,,,,1,41,,4,0.51,,5
File,OperationToObservableList.java,1,,,,,2,59,,7,0.34,,9
File,OperationToObservableSortedList.java,2,,,,,3,104,,13,0.39,,15
File,OperationZip.java,4,,,,,12,517,,41,0.29,,63
File,PerformanceTest.java,1,,,,,4,138,,18,0.47,,23
File,RxExamples.java,2,,,,,0,16,,3,0,,3
