Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,SumCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,CountDeclMethodAll,RatioCommentToCode,CountDeclClassMethod,CountLineCode,CountDeclFile,CountDeclFunction
File,AbstractButtonSource.java,,,0,8,,,,0.28,1,67,,6
File,Action.java,,,0,0,,,,6.67,0,3,,0
File,Action0.java,,,0,1,,,,5,0,3,,1
File,Action1.java,,,0,1,,,,5,0,3,,1
File,Action2.java,,,0,1,,,,5,0,3,,1
File,Action3.java,,,0,1,,,,5,0,3,,1
File,AndroidObservable.java,,,0,4,,,,0.88,2,17,,4
File,AndroidSchedulers.java,,,0,3,,,,1.75,2,16,,3
File,AsyncSubject.java,,,3,10,,,,0.86,1,56,,7
File,AsyncSubjectTest.java,,,1,9,,,,0.14,0,110,,9
File,BehaviorSubject.java,,,2,10,,,,0.91,1,54,,7
File,BehaviorSubjectTest.java,,,1,13,,,,0.14,0,108,,13
File,BlockingObservable.java,,,1,30,,,,1.53,2,128,,22
File,BlockingObservableTest.java,,,1,33,,,,0.08,0,203,,32
File,BooleanSubscription.java,,,1,2,,,,1.43,0,14,,2
File,ChunkedOperation.java,,,26,61,,,,0.63,0,323,,52
File,Closing.java,,,0,0,,,,8,0,2,,0
File,Closings.java,,,0,2,,,,2,1,8,,2
File,CombineLatestTests.java,,,3,4,,,,0.43,0,42,,4
File,ComponentEventSource.java,,,5,15,,,,0.36,2,70,,11
File,CompositeException.java,,,2,7,,,,0.57,0,35,,4
File,CompositeSubscription.java,,,2,19,,,,0.47,0,72,,7
File,CompositeSubscriptionTest.java,,,0,11,,,,0.19,0,96,,10
File,ConcatTests.java,,,0,8,,,,0.18,0,89,,8
File,ConnectableObservable.java,,,0,3,,,,2.79,0,14,,3
File,CovarianceTest.java,,,0,3,,,,0.66,0,44,,3
File,CurrentThreadScheduler.java,,,4,11,,,,0.32,1,63,,7
File,CurrentThreadSchedulerTest.java,,,0,9,,,,0.15,0,97,,9
File,DiscardableAction.java,,,4,4,,,,0.61,0,31,,3
File,DummyObservable.java,,,0,5,,,,0.94,0,18,,5
File,EventStream.java,,,3,8,,,,0.47,3,57,,6
File,ExampleObservableHttp.java,,,0,12,,,,0.34,3,86,,10
File,Exceptions.java,,,0,4,,,,1.77,1,13,,2
File,ExecutorScheduler.java,,,1,13,,,,0.45,0,89,,9
File,ExpandableByteBuffer.java,,,0,9,,,,0.38,0,40,,7
File,Func0.java,,,0,1,,,,5,0,3,,1
File,Func1.java,,,0,1,,,,5,0,3,,1
File,Func2.java,,,0,1,,,,5,0,3,,1
File,Func3.java,,,0,1,,,,5,0,3,,1
File,Func4.java,,,0,1,,,,5,0,3,,1
File,Func5.java,,,0,1,,,,5,0,3,,1
File,Func6.java,,,0,1,,,,5,0,3,,1
File,Func7.java,,,0,1,,,,5,0,3,,1
