Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode
File,AbstractSchedulerConcurrencyTests.java,,,5,,,,46,0,,31,338,0.15
File,AbstractSchedulerTests.java,,,5,,,,52,0,,37,399,0.09
File,Action.java,,,0,,,,0,0,,0,3,6.67
File,Action0.java,,,0,,,,1,0,,1,4,4.5
File,Action1.java,,,0,,,,1,0,,1,4,4.75
File,Action2.java,,,0,,,,1,0,,1,4,5
File,Action3.java,,,0,,,,1,0,,1,4,5.25
File,Action4.java,,,0,,,,1,0,,1,4,5.5
File,Action5.java,,,0,,,,1,0,,1,4,5.75
File,Action6.java,,,0,,,,1,0,,1,4,6
File,Action7.java,,,0,,,,1,0,,1,4,6.25
File,Action8.java,,,0,,,,1,0,,1,4,6.5
File,Action9.java,,,0,,,,1,0,,1,4,6.75
File,ActionN.java,,,0,,,,1,0,,1,4,4.5
File,ActionNotificationObserver.java,,,1,,,,4,0,,4,20,1
File,ActionObserver.java,,,3,,,,4,0,,4,24,0.79
File,ActionSubscriber.java,,,3,,,,4,0,,4,24,0.79
File,Actions.java,,,1,,,,49,24,,49,215,1.46
File,ActionsTest.java,,,0,,,,26,0,,24,223,0.07
File,AssemblyStackTraceException.java,,,0,,,,11,1,,4,44,0.82
File,AssertObservable.java,,,0,,,,25,4,,8,83,0.77
File,AssertObservableTest.java,,,0,,,,6,0,,4,29,0.59
File,AsyncCompletableSubscriber.java,,,1,,,,11,0,,7,50,1.28
File,AsyncCompletableSubscriberTest.java,,,3,,,,6,0,,6,60,0.25
File,AsyncEmitter.java,,,5,,,,6,0,,4,18,3.94
File,AsyncOnSubscribe.java,,,18,,,,88,7,,51,424,0.42
File,AsyncOnSubscribeTest.java,,,2,,,,59,0,,49,431,0.06
File,AsyncSubject.java,,,3,,,,24,1,,12,106,0.78
File,AsyncSubjectTest.java,,,3,,,,29,0,,23,350,0.09
File,AtomicPerf.java,,,7,,,,64,0,,30,245,0.1
File,AtomicReferenceArrayQueue.java,,,2,,,,15,0,,14,54,0.41
File,BackpressureDrainManager.java,,,4,,,,32,0,,12,142,0.64
File,BackpressureOverflow.java,,,0,,,,7,0,,7,37,1.43
File,BackpressureTests.java,,,5,,,,71,3,,46,523,0.12
File,BackpressureUtils.java,,,0,,,,43,10,,11,150,1.43
File,BackpressureUtilsTest.java,,,0,,,,3,0,,3,25,0.6
File,BaseLinkedAtomicQueue.java,,,2,,,,13,0,,11,53,0.64
File,BaseLinkedQueue.java,,,50,,,,11,0,,9,68,0.66
File,BehaviorSubject.java,,,2,,,,33,3,,17,134,0.93
File,BehaviorSubjectTest.java,,,1,,,,39,0,,32,495,0.04
File,Beta.java,,,0,,,,0,0,,0,16,1.94
File,BlockingObservable.java,,,1,,,,66,1,,51,295,1.13
File,BlockingObservablePerf.java,,,0,,,,3,0,,3,25,0.6
File,BlockingObservableTest.java,,,13,,,,115,0,,106,630,0.03
File,BlockingOperatorLatest.java,,,3,,,,17,1,,9,80,0.44
File,BlockingOperatorLatestTest.java,,,0,,,,12,0,,8,101,0.22
File,BlockingOperatorMostRecent.java,,,3,,,,14,1,,11,72,0.64
File,BlockingOperatorMostRecentTest.java,,,0,,,,7,0,,5,67,0.22
File,BlockingOperatorNext.java,,,9,,,,25,1,,13,120,0.36
File,BlockingOperatorNextTest.java,,,0,,,,36,0,,18,245,0.14
File,BlockingOperatorToFuture.java,,,1,,,,15,1,,11,75,0.48
File,BlockingOperatorToFutureTest.java,,,0,,,,14,0,,11,96,0.25
File,BlockingOperatorToIterator.java,,,3,,,,17,1,,11,83,0.4
File,BlockingOperatorToIteratorTest.java,,,1,,,,13,0,,11,88,0.22
File,BlockingSingle.java,,,1,,,,7,1,,6,45,1.04
File,BlockingSingleTest.java,,,0,,,,6,0,,4,50,0.38
File,BlockingUtils.java,,,0,,,,4,1,,2,21,1.52
File,BlockingUtilsTest.java,,,0,,,,11,1,,10,76,0.26
File,BooleanSubscription.java,,,1,,,,9,2,,7,39,0.82
File,BufferUntilSubscriber.java,,,7,,,,26,1,,14,131,0.43
File,BufferUntilSubscriberTest.java,,,0,,,,18,0,,8,129,0.12
File,CachedObservable.java,,,15,,,,58,2,,24,300,0.42
File,CachedObservableTest.java,,,0,,,,26,0,,17,215,0.08
File,CachedThreadScheduler.java,,,13,,,,40,0,,22,195,0.11
File,CapturingUncaughtExceptionHandler.java,,,3,,,,1,0,,1,13,1.15
File,CombineLatestTests.java,,,3,,,,8,0,,7,63,0.29
File,Completable.java,,,4,,,,297,34,,192,1367,0.55
File,CompletableEmitter.java,,,0,,,,4,0,,4,10,4.8
File,CompletableFlatMapSingleToCompletable.java,,,4,,,,9,0,,7,59,0.25
File,CompletableFromEmitter.java,,,3,,,,13,0,,9,77,0.25
File,CompletableFromEmitterTest.java,,,0,,,,37,0,,34,246,0.06
File,CompletableOnSubscribeConcat.java,,,9,,,,22,0,,12,112,0.13
File,CompletableOnSubscribeConcatArray.java,,,5,,,,12,0,,7,60,0.27
File,CompletableOnSubscribeConcatIterable.java,,,4,,,,17,0,,7,91,0.18
File,CompletableOnSubscribeMerge.java,,,12,,,,31,1,,12,161,0.13
File,CompletableOnSubscribeMergeArray.java,,,1,,,,14,0,,5,61,0.25
File,CompletableOnSubscribeMergeDelayErrorArray.java,,,1,,,,13,0,,6,60,0.25
File,CompletableOnSubscribeMergeDelayErrorIterable.java,,,1,,,,26,0,,6,116,0.13
File,CompletableOnSubscribeMergeIterable.java,,,1,,,,23,0,,5,107,0.14
File,CompletableOnSubscribeTimeout.java,,,5,,,,13,0,,9,80,0.19
