Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountDeclMethodAll,CountDeclInstanceVariable,CountClassCoupled,CountClassBase,CountDeclClassMethod,CountClassDerived,CountDeclInstanceMethod
Class,ClearOnExitPolicy,100,1,5,1,4,1,0,0,5
Class,ColorChooserDialog,93,1,11,3,6,3,0,0,11
Private Struct,ColorChooserDialog::ExecuteOpenParams,100,0,1,3,0,0,0,0,1
Class,ColorChooserGtk,63,1,11,2,3,1,1,0,10
Class,ColorChooserWin,61,1,7,2,3,2,1,0,6
Abstract Class,CrashHandlerHostLinux,98,1,13,6,3,2,0,5,13
Class,ExtensionCrashHandlerHostLinux,0,2,18,0,1,1,0,0,5
Class,FileSelectHelper,100,1,29,9,17,3,2,0,27
Public Struct,FileSelectHelper::ActiveDirectoryEnumeration,75,0,1,4,2,0,0,0,1
Private Class,FileSelectHelper::DirectoryListerDispatchDelegate,80,1,5,2,2,1,0,0,5
Class,GpuCrashHandlerHostLinux,0,2,19,0,1,1,1,0,5
Struct,GpuFeatureInfo,0,0,0,5,1,0,0,0,0
Class,GtkPrinterList,30,0,5,2,2,0,1,0,4
Class,IncrementTimeDelta,33,0,3,3,2,0,0,0,3
Class,MediaCaptureDevicesDispatcher,100,1,27,4,3,1,0,0,27
Public Class,MediaCaptureDevicesDispatcher::Observer,0,0,4,0,0,0,0,0,4
Class,MediaInternals,100,1,19,3,6,1,0,0,19
Class,MediaStreamDevicesController,97,0,19,4,6,0,0,0,19
Class,PluginCrashHandlerHostLinux,0,2,19,0,1,1,1,0,5
Class,PpapiCrashHandlerHostLinux,0,2,19,0,1,1,1,0,5
Class,PrintDialogGtk,100,1,19,7,12,2,1,0,18
Struct,PrintHostMsg_RequestPrintPreview_Params,100,0,4,4,0,0,0,0,4
Struct,PrintMsg_PrintPages_Params,100,0,5,2,3,0,0,0,5
Struct,PrintMsg_Print_Params,100,0,3,21,2,0,0,0,3
Class,PrintingMessageFilter,100,1,18,2,13,1,0,0,18
Public Struct,PrintingMessageFilter::GetPrintSettingsForRenderViewParams,0,0,0,4,2,0,0,0,0
Class,PrintingUIWebContentsObserver,0,1,5,0,3,1,0,0,3
Class,RendererCrashHandlerHostLinux,0,2,19,0,1,1,1,0,5
Class,SQLitePersistentCookieStore,18,1,11,1,18,1,0,0,11
