Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"AcceleratorPressed",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"AddDesktopNotification",,,,13,43,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,67,13,43,11,35,11,0,0,33,18,30,36,8,0,28,8,8,9,3,2,,,,,2,,1,2,,0.26,,,,
Function,"AddObserver",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,0,0,2,2,1,2,0,0,2,2,2,3,1,0,,,,,0,,1,0,,0.00,,,,
Function,"AddToolbar",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,1,3,0,0,0,4,1,3,3,0,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"App::Call",,,,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,13,3,9,0,0,0,3,4,5,8,1,0,7,4,4,4,1,3,,,,,0,,1,0,,0.00,,,,
Public Function,"App::Call",,,,8,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,90,5,63,19,53,2,17,3,27,13,40,52,11,0,41,13,13,14,12,10,,,,,10,,3,10,,0.03,,,,
Public Function,"App::ClearCache",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,3,0,0,0,4,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"App::CloseAllWindows",,,,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,1,16,3,10,8,0,0,7,16,8,14,2,0,12,7,7,8,1,0,,,,,0,,3,0,,0.50,,,,
Public Function,"App::EmitOpenEvent",,,,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,2,10,4,5,0,0,0,5,2,8,9,3,0,6,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"App::EmitReopenEvent",,,,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,2,10,4,5,0,0,0,5,2,8,9,3,0,6,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"App::Quit",,,,2,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,2,17,5,10,2,0,0,9,3,12,14,4,0,10,3,3,3,1,1,,,,,0,,2,0,,0.12,,,,
Public Function,"App::SetProxyConfig",,,,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,2,14,3,10,0,0,0,10,1,6,6,1,0,5,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"AppController",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AppProtocolHandler::AppProtocolHandler",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AppProtocolHandler::AppProtocolHandler",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Const Function,"AppProtocolHandler::IsSafeRedirectTarget",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Const Function,"AppProtocolHandler::MaybeCreateJob",,,,4,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,4,21,5,14,9,0,0,11,3,11,13,3,0,10,3,3,6,3,2,,,,,2,,1,2,,0.43,,,,
Public Function,"AutofillAgent::AcceptDataListSuggestion",,,,3,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,3,21,5,15,3,0,0,14,7,13,17,4,0,13,5,5,6,4,2,,,,,2,,3,2,,0.14,,,,
Public Function,"AutofillAgent::AutofillAgent",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,0,0,3,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::AutofillAgent",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::InputElementClicked",,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,6,3,2,0,0,0,1,2,1,2,0,0,2,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillAgent::InputElementLostFocus",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::SetNodeText",,,,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,7,3,4,0,0,0,2,1,4,5,2,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::ShowSuggestions",,,,7,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47,7,33,9,22,7,0,0,18,6,16,21,5,0,16,6,6,15,5,4,,,,,4,,2,4,,0.21,,,,
Public Function,"AutofillAgent::TextFieldDidChangeImpl",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::didAcceptAutofillSuggestion",,,,1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,1,16,5,9,1,0,0,3,3,5,9,0,0,9,4,2,4,1,1,,,,,0,,1,0,,0.06,,,,
Public Function,"AutofillAgent::didClearAutofillSelection",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::didSelectAutofillSuggestion",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,4,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::removeAutocompleteSuggestion",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::textFieldDidChange",,,,1,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,1,11,1,8,3,0,0,5,2,4,5,0,0,5,2,2,2,1,1,,,,,0,,1,0,,0.27,,,,
Public Function,"AutofillAgent::textFieldDidEndEditing",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::textFieldDidReceiveKeyDown",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,6,2,3,0,0,0,1,2,1,2,0,0,2,2,2,3,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillAgent::~AutofillAgent",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillPopupBaseView::AcceleratorPressed",,,,3,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,3,12,2,8,0,0,0,7,3,6,8,0,0,8,3,3,3,3,2,,,,,2,,1,2,,0.00,,,,
Public Function,"AutofillPopupBaseView::AcceptSelection",,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,6,1,4,0,0,0,2,2,3,4,0,0,4,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillPopupBaseView::AutofillPopupBaseView",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,6,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillPopupBaseView::ClearSelection",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,0,0,1,2,1,2,0,0,2,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillPopupBaseView::DoHide",,,,2,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,2,9,1,6,5,0,0,4,2,4,5,0,0,5,2,2,2,1,1,,,,,0,,1,0,,0.56,,,,
Public Function,"AutofillPopupBaseView::DoShow",,,,6,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,41,6,29,4,26,6,0,0,18,4,16,18,3,0,15,3,3,3,1,0,,,,,0,,1,0,,0.21,,,,
Public Function,"AutofillPopupBaseView::DoUpdateBoundsAndRedrawPopup",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,0,0,4,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
