Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"AddToolbar",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,0,0,3,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"App::Call",,,,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,0,14,3,10,0,0,0,3,4,7,10,1,0,9,4,4,4,3,2,,,,,2,,1,2,,0.00,,,,
Public Function,"App::Call",,,,4,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,42,4,37,10,28,1,0,0,21,8,23,30,5,0,25,8,8,9,8,6,,,,,6,,3,6,,0.03,,,,
Public Function,"App::ClearCache",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,3,0,0,0,4,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"App::CloseAllWindows",,,,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,1,16,3,10,8,0,0,7,16,8,14,2,0,12,7,7,8,1,0,,,,,0,,3,0,,0.50,,,,
Public Function,"App::EmitOpenEvent",,,,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,2,10,4,5,0,0,0,5,2,8,9,3,0,6,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"App::EmitReopenEvent",,,,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,2,10,4,5,0,0,0,5,2,8,9,3,0,6,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"App::Quit",,,,2,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,2,17,5,10,2,0,0,9,3,12,14,4,0,10,3,3,3,1,1,,,,,0,,2,0,,0.12,,,,
Function,"AppController",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AppProtocolHandler::AppProtocolHandler",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AppProtocolHandler::AppProtocolHandler",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Const Function,"AppProtocolHandler::IsSafeRedirectTarget",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Const Function,"AppProtocolHandler::MaybeCreateJob",,,,4,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,4,21,5,14,9,0,0,11,3,11,13,3,0,10,3,3,6,3,2,,,,,2,,1,2,,0.43,,,,
Public Function,"AutofillAgent::AcceptDataListSuggestion",,,,3,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,3,21,5,15,3,0,0,14,7,13,17,4,0,13,5,5,6,4,2,,,,,2,,3,2,,0.14,,,,
Public Function,"AutofillAgent::AutofillAgent",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::AutofillAgent",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,0,0,3,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::InputElementClicked",,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,6,3,2,0,0,0,1,2,1,2,0,0,2,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"AutofillAgent::InputElementLostFocus",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::SetNodeText",,,,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,7,3,4,0,0,0,2,1,4,5,2,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::ShowSuggestions",,,,7,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47,7,33,9,22,7,0,0,18,6,16,21,5,0,16,6,6,15,5,4,,,,,4,,2,4,,0.21,,,,
Public Function,"AutofillAgent::TextFieldDidChangeImpl",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::didAcceptAutofillSuggestion",,,,1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,1,16,5,9,1,0,0,3,3,5,9,0,0,9,4,2,4,1,1,,,,,0,,1,0,,0.06,,,,
Public Function,"AutofillAgent::didClearAutofillSelection",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::didSelectAutofillSuggestion",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,4,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::removeAutocompleteSuggestion",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AutofillAgent::textFieldDidChange",,,,1,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,1,11,1,8,3,0,0,5,2,4,5,0,0,5,2,2,2,1,1,,,,,0,,1,0,,0.27,,,,
