Kind,Name,CountDeclMethodAll,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,MaxInheritanceTree,PercentLackOfCohesion,CountDeclClassMethod
Struct,"BreakpadInfo",0,0,0,1,0,0,15,0,0,0
Class,"ClearOnExitPolicy",5,0,1,5,0,5,1,1,100,0
Class,"ColorChooserDialog",10,0,3,6,0,10,3,1,92,0
Private Struct,"ColorChooserDialog::ExecuteOpenParams",1,0,0,0,0,1,3,0,100,0
Class,"ColorChooserGtk",11,0,1,3,0,10,2,1,63,1
Class,"ColorChooserWin",7,0,2,3,0,6,2,1,61,1
Abstract Class,"CrashHandlerHostLinux",13,0,2,3,5,13,6,1,98,0
Class,"ExtensionCrashHandlerHostLinux",18,0,1,1,0,5,0,2,0,0
Class,"FileSelectHelper",29,2,3,16,0,27,9,1,100,2
Public Struct,"FileSelectHelper::ActiveDirectoryEnumeration",1,0,0,2,0,1,4,0,75,0
Private Class,"FileSelectHelper::DirectoryListerDispatchDelegate",5,0,1,2,0,5,2,1,80,0
Class,"GpuCrashHandlerHostLinux",19,0,1,1,0,5,0,2,0,1
Struct,"GpuFeatureInfo",0,0,0,1,0,0,5,0,0,0
Class,"GtkPrinterList",5,0,0,1,0,4,2,0,30,1
Class,"IncrementTimeDelta",3,0,0,2,0,3,3,0,33,0
Class,"MediaCaptureDevicesDispatcher",27,0,1,3,0,27,4,1,100,0
Public Class,"MediaCaptureDevicesDispatcher::Observer",4,0,0,0,0,4,0,0,0,0
Class,"MediaInternals",20,0,1,6,0,20,3,1,100,0
Class,"MediaStreamDevicesController",19,1,0,6,0,19,4,0,97,0
Class,"MimeWriter",13,0,0,2,0,13,4,0,83,0
Class,"PluginCrashHandlerHostLinux",19,0,1,1,0,5,0,2,0,1
Class,"PpapiCrashHandlerHostLinux",19,0,1,1,0,5,0,2,0,1
Class,"PrintDialogGtk",18,1,2,11,0,17,7,1,100,1
Struct,"PrintHostMsg_RequestPrintPreview_Params",4,0,0,0,0,4,4,0,100,0
Struct,"PrintMsg_PrintPages_Params",5,0,0,3,0,5,2,0,100,0
Struct,"PrintMsg_Print_Params",3,0,0,2,0,3,22,0,100,0
Class,"PrintingMessageFilter",17,0,1,12,0,17,2,1,100,0
Public Struct,"PrintingMessageFilter::GetPrintSettingsForRenderViewParams",0,0,0,2,0,0,4,0,0,0
Class,"RendererCrashHandlerHostLinux",19,0,1,1,0,5,0,2,0,1
Class,"SQLitePersistentCookieStore",11,0,1,19,0,11,1,1,18,0
Public Class,"SQLitePersistentCookieStore::Backend",30,1,1,18,0,30,21,1,87,0
Private Class,"SQLitePersistentCookieStore::Backend::KillDatabaseErrorDelegate",4,0,1,2,0,4,2,1,50,0
Private Class,"SQLitePersistentCookieStore::Backend::KillDatabaseErrorDelegate::HistogramUniquifier",1,0,0,0,0,0,0,0,0,1
Private Class,"SQLitePersistentCookieStore::Backend::PendingOperation",3,0,0,1,0,3,2,0,33,0
Public Class,"ShellBrowserContext::ShellResourceContext",8,0,1,2,0,8,1,1,50,0
File,"api_messages.cc",,0,,,,,,,,
File,"api_messages.h",,0,,,,,,,,
File,"app.cc",,1,,,,,,,,
File,"app.h",,0,,,,,,,,
File,"app_controller_mac.h",,0,,,,,,,,
File,"app_protocol_handler.cc",,3,,,,,,,,
File,"app_protocol_handler.h",,0,,,,,,,,
