Project	ECGF	CPFD	NOF	SDC	NOOC	MAXNESTING	FANIN	LDA	NOAV	LOC	OCIO	DR	NOIC	WOC	CYCLO	LOCOMM	ALD	ICIO	NOMOD	TCC	NOLV	IF	NOGF	ATFD	NOPAR	SEC	FDP	FANOUT	LCC	LB	NOGV	ICDO	OCDO	NOMV	TIME_IDX	TIME_INFUS	TIME_DUDE
bison-2.4.1	273	199	1133	7512	3701	1285	1460	662.85	6872	25376	816	289.93	2269	5406	5406	3988	732	812	181	33.23	1909	4.55	626	2227	1843	7049	971	2160	39.28	94.22	186	570	643	406	5.01	11.53	0.55
chromium-1.9	1579	754	5349	26258	33152	4416	8017	2846.39	35568	124071	5553	1699.2	18507	23869	23869	9541	2912	5760	556	100.2	8015	89.13	3836	16400	9905	24956	7175	15466	126.94	304.63	559	3536	3720	1876	93.82	168.78	8.83
dban-2.0.0-trimmed	589	565	2595	34690	15461	2878	3766	1875.48	13253	73813	2768	645.69	6294	13902	13902	11693	1320	2234	2078	56.77	4954	238.41	1637	4442	3433	33594	1522	8503	68.99	129.61	676	1555	1656	1151	10.64	28.88	2.4
DSPP1	859	364	2752	22690	24337	5116	11326	719.35	37535	158731	6274	1741.42	27220	23612	23612	17359	698	8241	166	19.7	7907	9.17	2708	23184	5224	20372	5783	11391	21.92	364.15	433	1557	4967	437	48.28	205.32	6.46
DSPP2	1129	852	3330	25320	26589	5797	13475	854.86	43677	175126	7532	1967.07	30485	25700	25700	15863	750	9966	221	24.01	8787	8.77	3275	27205	6461	22866	8184	13250	29.92	444.72	369	2343	5928	377	90.12	291.89	7.75
ed2k-gtk-gui-0.6.4	319	144	1332	2766	12022	1528	2481	887.07	6876	34936	1208	396.36	3843	5264	5264	3081	824	1231	244	8.26	2520	1	528	1814	2605	2502	785	7345	16.52	28.96	147	693	839	379	5.06	11.4	0.75
expat-2.0.1	101	22	549	768	1590	535	822	380.72	2822	10559	387	155.08	1104	2275	2275	476	121	389	52	5.64	689	9.35	231	1123	1272	730	312	1154	7.33	21.29	14	207	243	173	5.02	6.68	0.25
fuse-2.7.4-trimmed	140	174	823	1054	3456	854	1422	343.91	5562	13312	440	201.46	1567	2731	2731	314	116	445	44	6.26	1380	5.86	207	2162	2029	960	1093	2880	7.78	26.12	4	257	310	66	5.04	6.97	0.3
gcc-4.4.1	4538	4514	35395	701750	194947	37087	71269	25814.33	160766	851490	48780	10029	120719	221108	221108	116507	10578	49013	2080	529.77	82592	89.6	16246	43135	47770	662946	23299	128109	571.39	1258.28	2973	22546	30762	6223	201.29	1354.71	138.4
gdb-6.8	5075	7059	36959	5873068	160845	42137	74980	17952.76	291183	1067899	52898	18756.64	129314	225339	225339	114271	11415	53025	2776	423.91	112276	68.75	14765	99659	73223	5684134	48432	93120	512.08	6340.69	4978	23662	39037	12296	178.14	3351.33	736.39
ghostscript-8.64	3482	6999	15627	1983376	69969	22357	28080	5909.78	156127	489216	16313	5472.94	42885	107818	107818	74328	2445	16455	3408	155.39	52501	52.4	6535	63158	41538	1838104	27470	48506	175.2	1493.91	2984	10847	11250	5042	139.37	491.15	84.74
gimp-2.6.6	5153	3635	18406	367502	181967	20097	53841	8132.17	140306	609700	39965	9477.02	74882	73077	73077	22918	5746	39993	5278	487.98	51854	49.46	7387	41434	45997	350410	16418	114645	544.29	2132.53	2145	23689	30156	4314	187.45	473.32	95.55
glib-2.20.4	1630	990	7306	61888	37394	8755	20293	4214.34	35046	155895	14110	3484.7	32328	36241	36241	9355	1804	14802	1120	51.76	12467	17.3	3020	10974	12539	60328	5503	23997	70.7	451.81	4484	6436	10107	5178	90.22	565.89	6.64
