Project	CPFD[class]	CPFD[module]	NOA	NOACCM	SDC[method]	SDC[function]	NOOC[method]	NOOC[function]	NOC	NOM	NOPUBA	MAXNESTING[method]	MAXNESTING[function]	FANIN[method]	FANIN[function]	NOVRM	LDA[method]	LDA[function]	NOAV[method]	NOAV[function]	LOC[method]	LOC[function]	OCIO[method]	OCIO[function]	NOAM	NOCHLD	NOIC[method]	NOIC[function]	DR[method]	DR[function]	WOC[class]	WOC[module]	NAS	CYCLO[method]	CYCLO[function]	LOCOMM[method]	LOCOMM[function]	NOAC	NOPUBM	ICIO[method]	ICIO[function]	TCC[class]	TCC[module]	NOLV[method]	NOLV[function]	IF	SPIDX	CW	NOPAR[method]	NOPAR[function]	SEC[method]	SEC[function]	FDP[method]	FDP[function]	DIT	RFC	FANOUT[method]	FANOUT[function]	LCC[class]	LCC[module]	ODD	BUR	NOPRTM	LCOM	LB[method]	LB[function]	PNAS	ICDO[method]	ICDO[function]	CBO	OCDO[method]	OCDO[function]	NOPRTA	ALD[method]	ALD[function]	AMW	ATFD[method]	ATFD[function]	BOVR	ECGF	NOF	NOGF	NOGV	NOMOD	NOMV	TIME_IDX	TIME_INFUS	TIME_DUDE
amxmodx-1.8.1-trimmed	234	859	3606	117	16999	57399	4700	22742	570	2067	2970	1337	5535	2681	7396	208	1839.42	12326.44	7131	29355	23029	107587	797	5789	149	132	3776	11836	304.16	1631.5	5601	25773	84	5601	25773	1445	18485	26	1893	1997	4818	83.71	46.54	1417	10461	38.13	36.3	169.75	1734	8197	15935	50595	551	4663	54	2674	2834	13621	83.71	51.7	87	568	1	3960	52	169.83	14.6	1311	2101	314	537	3750	82	3107	2031	473.8	1198	10850	27.73	955	14414	12649	2983	538	3305	25.52	105.08	9.5
ApexDC++-1.2.1-trimmed	303	178	3737	119	2378	2194	32664	6108	963	4491	2224	3859	1522	6632	3046	201	3975	4621.98	15149	8181	50753	24996	4929	1627	41	190	13693	4183	1188.32	388.45	12677	7213	1318	12677	7213	3818	3766	17	3677	5187	1853	163.16	33.16	5865	2506	203.9	20.3	307.61	6403	9520	2252	1994	1280	1125	125	7576	17624	4567	162.58	35.64	1314	920.3	81	43392	60.5	40.14	86.49	3252	906	1220	3266	854	177	5117	217	843.63	1963	2968	16.05	383	5189	4524	305	3859	502	327.94	3472.33	2.09
audacity-1.3.8-trimmed	374	1932	9820	201	4636	891472	24592	70204	1654	5739	7137	3702	16699	5076	27935	362	5315.37	9392.93	21966	97757	80751	381370	2880	18281	128	245	7800	44476	1116.72	4154.75	13956	79228	1110	13956	79228	9374	39482	39	3974	2765	19194	153.21	239.23	7472	32854	172.02	66.76	356.89	5458	26052	4405	864913	985	11852	340	7724	14727	40019	152.7	268.31	664	1615.44	356	34719	86.84	1767.13	155.58	1963	11565	610	1973	10534	701	9106	3101	1015.53	1790	37434	39	3247	15246	10204	1447	2406	5974	86	223.77	37.83
bochs-2.4.1-trimmed	252	138	1513	31	2617	1981	5978	6140	286	1815	1038	1557	1376	5168	2289	168	1223.54	2441.73	10495	6366	36177	31907	1200	950	13	77	8657	4597	476.4	268.42	7825	6401	241	7823	6401	3878	4261	5	1008	4242	1381	45.78	44.82	1733	2420	16.72	25.91	90.7	2026	1924	2436	1876	1923	542	125	2445	3325	3079	45.68	51.2	99	282	37	15302	53.43	65.67	32.75	763	545	177	811	610	15	1652	754	369.7	5687	1583	13.19	354	2726	2363	1386	372	2214	47.78	105.94	2.58
filezilla 3.2.6.1-trimmed	314	183	2318	163	12528	3718	24603	8190	484	2886	1370	3270	1445	4951	3194	240	2442.06	894.84	13755	9717	64628	37259	3287	1793	40	186	7992	6300	674	423.17	13314	7217	450	13314	7217	2292	5492	17	1880	3299	1852	95.77	24.48	5760	3488	6.27	39.8	202.23	2735	3120	10916	3510	1196	1048	239	4860	12697	4427	95.62	27.66	758	436.99	887	15268	124.41	85.55	85.59	1977	861	771	1873	1029	798	3951	337	925.46	2435	3447	31.74	414	1525	988	140	347	316	18.53	61.05	3.62
bzflag	1877	1761	9536	822	10732	32634	41964	43696	1877	8981	6244	6202	9442	15311	16657	1244	7629.9	4948	39061	53019	122743	213109	12742	10676	179	760	24960	31585	2599.26	2616.98	25211	42587	1116	25156	42587	8977	26328	54	7567	12780	11376	574.02	187.43	11955	17998	103.85	309.07	867.19	8545	14343	10153	30325	4093	7995	964	18442	22917	25016	573.96	202.96	2600	1622.12	509	57129	198.94	396.55	345.76	8826	6439	3156	7518	6366	573	14987	4281	3463.03	7606	20245	206.12	1908	8466	4419	3786	1924	4779	166.52	462.3	18.27
clamwin-0.9.5.2-trimmed	4	773	2310	4	0	19258	481	19186	341	88	2272	85	4686	93	5552	0	85.54	1279.87	437	21613	1491	109462	15	3084	0	1	117	11297	15	802.71	289	28015	15	289	28015	384	14145	0	41	19	3110	6.42	179.15	129	8058	28.1	0	7.18	145	5322	0	17990	6	2665	1	90	328	9480	6.42	187.82	6	340.25	33	1014	0	221.23	1	5	1802	0	15	2020	11	179	508	15.06	6	8191	0	725	2692	1613	173	630	451	15.55	79.5	4.44
doxygen-1.5.9	661	319	2523	90	40533	82837	26699	22265	888	15188	1277	5073	5397	16269	6002	2030	14167.34	1639.18	23363	19518	104645	103544	8843	7014	800	241	28146	11347	2364.9	713.23	28106	20818	8758	28085	20818	24292	12694	103	14482	12689	3626	175.11	37.57	5995	6544	8.79	165.27	459.92	7884	3847	39411	79319	2655	1896	351	20687	16619	11565	175.06	41.41	2116	845.01	235	946809	279.04	243.94	109.48	7025	1899	1562	5267	3024	39	7362	4086	1011.84	4165	5613	61.71	659	2604	1598	369	862	1765	96.98	246	8.31
bzflag	1876	1761	9536	822	10692	32634	41912	43696	1877	8981	6244	6195	9442	15311	16657	1244	7631.42	4955	39032	52998	122638	213109	12736	10676	179	760	24960	31585	2598	2616.98	25193	42587	1116	25138	42587	8975	26328	54	7567	12781	11376	573.69	187.43	11948	17998	103.61	309.07	867.19	8511	14336	10113	30325	4089	7982	964	18439	22900	25016	573.63	202.96	2599	1622.12	509	57131	198.94	396.55	345.76	8831	6439	3154	7515	6366	573	14977	4281	3458.3	7599	20224	206.12	1908	8466	4419	3786	1924	4779	192.62	463.8	18.33
celestia 1.6.0-trimmed	270	220	3092	413	3128	3608	14064	13104	664	3081	1886	1840	1868	6339	3156	431	2715.66	3998.78	14274	9863	49160	42659	3734	3406	79	194	9827	5389	739.07	622.57	8035	6472	249	8035	6472	2877	13355	33	2837	5434	1747	209.18	54.99	5261	4943	18.83	215.54	311.91	3100	14883	3016	3428	1090	1089	342	5629	7941	8121	209.09	58.06	1342	661.75	39	20629	54	72.22	31.55	3540	1047	785	2033	1901	80	5203	619	871.21	2385	2406	96.47	540	4558	3752	493	509	1191	62.78	305.17	2.26
